"Origem","Destino","Nat","Tipo","Materia","NomeNovo"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 012312-9.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Acordaos e decisoes\Previdenciario\Sentenca 2009.38.00.012312-9 MS Previdenciario Pensao Morte Nadir Aparecida Silva INSS 2009.doc","01 - Juridico","Acordaos e decisoes","Previdenciario","Sentenca 2009.38.00.012312-9 MS Previdenciario Pensao Morte Nadir Aparecida Silva INSS 2009.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 019052-2 A.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Acordaos e decisoes\Civel\Decisao 2004.38.00.019052-2 Acao Ordinaria Consorcio Felipe Luis Oliveira Francisco Assis Anibal Gomes 2004.doc","01 - Juridico","Acordaos e decisoes","Civel","Decisao 2004.38.00.019052-2 Acao Ordinaria Consorcio Felipe Luis Oliveira Francisco Assis Anibal Gomes 2004.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Apartamento Caramagos - MRV.doc","C:\Users\mauri\HD_Mau\03 - Administrativo\Outros\Edital Hasta Publica Belo Horizonte Julho 2011 Imovel Seculos Empreendimentos.doc","03 - Administrativo","","Outros","Edital Hasta Publica Belo Horizonte Julho 2011 Imovel Seculos Empreendimentos.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 021046-4.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Acordaos e decisoes\Previdenciario\Sentenca 2009.38.00.021046-4 Acao Ordinaria Administrativa Etelvina Gomes Geralda Goncalves Maria Araujo INSS Uniao 2009.doc","01 - Juridico","Acordaos e decisoes","Previdenciario","Sentenca 2009.38.00.021046-4 Acao Ordinaria Administrativa Etelvina Gomes Geralda Goncalves Maria Araujo INSS Uniao 2009.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 11-02-2016 - 2.pdf","C:\Users\mauri\HD_Mau\03 - Administrativo\Outros\Registro Log Cartorio Upload Brazopolis 2016.pdf","03 - Administrativo","","Outros","Registro Log Cartorio Upload Brazopolis 2016.pdf"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Evaldo Jose.pdf","C:\Users\mauri\HD_Mau\04 - Pessoal e financeiro\Outros\Comprovante Pagamento Cartorio Protesto Evaldo Jose Lopes Eireli Junho 2014.pdf","04 - Pessoal e financeiro","","Outros","Comprovante Pagamento Cartorio Protesto Evaldo Jose Lopes Eireli Junho 2014.pdf"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\r 21332.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Acordaos e decisoes\Eleitoral\Acordao Recurso Especial Eleitoral 213-32.2013.6.26.0191 Fabio Bello Oliveira TSE 2015.doc","01 - Juridico","Acordaos e decisoes","Eleitoral","Acordao Recurso Especial Eleitoral 213-32.2013.6.26.0191 Fabio Bello Oliveira TSE 2015.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\28-04-2014.pdf","C:\Users\mauri\HD_Mau\03 - Administrativo\Outros\Registro Log Cartorio Upload Retorno Brazopolis 2014.pdf","03 - Administrativo","","Outros","Registro Log Cartorio Upload Retorno Brazopolis 2014.pdf"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\DOC3.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Trabalhista\Ata Audiencia Vara Trabalho Paracatu Processo 0001744-46.2012.503.0084 Sandra Morais Oliveira Trevoservis Julho 2013.doc","01 - Juridico","Peticoes","Trabalhista","Ata Audiencia Vara Trabalho Paracatu Processo 0001744-46.2012.503.0084 Sandra Morais Oliveira Trevoservis Julho 2013.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\58794-46.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Acordaos e decisoes\Administrativo\Sentenca 58794-46.2010.4.01.3800 MS Apreensao Biokits Superintendencia Agricultura MG 2010.doc","01 - Juridico","Acordaos e decisoes","Administrativo","Sentenca 58794-46.2010.4.01.3800 MS Apreensao Biokits Superintendencia Agricultura MG 2010.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\025198-0.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Acordaos e decisoes\Administrativo\Sentenca 2009.38.00.025198-0 MS Concurso Publico CAAP UFMG 2009.doc","01 - Juridico","Acordaos e decisoes","Administrativo","Sentenca 2009.38.00.025198-0 MS Concurso Publico CAAP UFMG 2009.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 015249-2.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Acordaos e decisoes\Civel\Sentenca 2006.38.00.015249-2 Acao Ordinaria SFH Hugo Flavio Carvalho Marisete Ferreira Caixa Economica 2006.doc","01 - Juridico","Acordaos e decisoes","Civel","Sentenca 2006.38.00.015249-2 Acao Ordinaria SFH Hugo Flavio Carvalho Marisete Ferreira Caixa Economica 2006.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\3779.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Pareceres e notas tecnicas\Trabalhista\Parecer Tecnico 3779 2013 Execucao Sentenca PCCS ECT Maria Ines Casanovas Vieira.doc","01 - Juridico","Pareceres e notas tecnicas","Trabalhista","Parecer Tecnico 3779 2013 Execucao Sentenca PCCS ECT Maria Ines Casanovas Vieira.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\COE92D.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Contestacoes e manifestacoes\Trabalhista\Contestacao Acao Cautelar 2025-61.2011.503.0108 ECT Jamerson Nunes Rodrigues 2011.doc","01 - Juridico","Contestacoes e manifestacoes","Trabalhista","Contestacao Acao Cautelar 2025-61.2011.503.0108 ECT Jamerson Nunes Rodrigues 2011.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 2012 geral.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Eleitoral\relatorio consulta eleitoral AIME AIJE RCED.doc","01 - Juridico","Peticoes","Eleitoral","relatorio consulta eleitoral AIME AIJE RCED.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\CM9350.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Recursos\Trabalhista\AIRR 865-04.2011.5.03.0107 ECT Maria Conceicao Dias Melo 2011.doc","01 - Juridico","Recursos","Trabalhista","AIRR 865-04.2011.5.03.0107 ECT Maria Conceicao Dias Melo 2011.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Apontamento 9927.pdf","C:\Users\mauri\HD_Mau\04 - Pessoal e financeiro\Comprovantes e recibos\protesto titulo INMETRO 2014.pdf","04 - Pessoal e financeiro","","Comprovantes e recibos","protesto titulo INMETRO 2014.pdf"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 014738-1.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Administrativo\acao ordinaria PDV CVRD 2008.doc","01 - Juridico","Peticoes","Administrativo","acao ordinaria PDV CVRD 2008.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\EE - Ricardo Souza Gomes.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Recursos\Trabalhista\embargos execucao ECT Ricardo Souza Gomes 2009.doc","01 - Juridico","Recursos","Trabalhista","embargos execucao ECT Ricardo Souza Gomes 2009.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\remessa 377.pdf","C:\Users\mauri\HD_Mau\04 - Pessoal e financeiro\Comprovantes e recibos\protesto DMI Jarbas Costa Teo 2015.pdf","04 - Pessoal e financeiro","","Comprovantes e recibos","protesto DMI Jarbas Costa Teo 2015.pdf"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Parte 9.pdf","C:\Users\mauri\HD_Mau\03 - Administrativo\Portarias e resolucoes\plano carreiras ECT tecnico seguranca.pdf","03 - Administrativo","","Portarias e resolucoes","plano carreiras ECT tecnico seguranca.pdf"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\http www.camara 1.gov.pdf","C:\Users\mauri\HD_Mau\01 - Juridico\Acordaos e decisoes\Administrativo\mensagem 143 MP 565 credito rural 2012.pdf","01 - Juridico","Acordaos e decisoes","Administrativo","mensagem 143 MP 565 credito rural 2012.pdf"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 015258-9.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Recursos\Tributario\embargos execucao 2008.38.00.015258-9 Fernando Romualdo Silva.doc","01 - Juridico","Recursos","Tributario","embargos execucao 2008.38.00.015258-9 Fernando Romualdo Silva.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\processo 2009.38.00.715053-8.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Recursos\Consumidor\recurso 2009.38.00.715053-8 CEF Mario Majela danos morais.doc","01 - Juridico","Recursos","Consumidor","recurso 2009.38.00.715053-8 CEF Mario Majela danos morais.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\dig001003.pdf","C:\Users\mauri\HD_Mau\04 - Pessoal e financeiro\Outros\planilha frete Via Express Valmir Pimenta 2013.pdf","04 - Pessoal e financeiro","","Outros","planilha frete Via Express Valmir Pimenta 2013.pdf"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 021628-7.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Administrativo\acao civil publica ABCP deficientes concurso 2009.doc","01 - Juridico","Peticoes","Administrativo","acao civil publica ABCP deficientes concurso 2009.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\3875.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Pareceres e notas tecnicas\Trabalhista\parecer tecnico 3.875 ECT PCCS 2013.doc","01 - Juridico","Pareceres e notas tecnicas","Trabalhista","parecer tecnico 3.875 ECT PCCS 2013.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 010843-4.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Civel\acao ordinaria 2008.38.00.010843-4 Edson Oliveira Caixa.doc","01 - Juridico","Peticoes","Civel","acao ordinaria 2008.38.00.010843-4 Edson Oliveira Caixa.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\CO0FAC.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Contestacoes e manifestacoes\Trabalhista\contestacao 1646-56.2011.5.03.0097 ECT Sergio Caldeira.doc","01 - Juridico","Contestacoes e manifestacoes","Trabalhista","contestacao 1646-56.2011.5.03.0097 ECT Sergio Caldeira.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\SIE Patricia.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Pareceres e notas tecnicas\Trabalhista\parecer ECT Walter Marciano Vidal 2010.doc","01 - Juridico","Pareceres e notas tecnicas","Trabalhista","parecer ECT Walter Marciano Vidal 2010.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Villa Bella Florenca - ago 28 0800.doc","C:\Users\mauri\HD_Mau\03 - Administrativo\Contratos e termos\condominio Villa Bella Florenca estudo seguranca 2013.doc","03 - Administrativo","","Contratos e termos","condominio Villa Bella Florenca estudo seguranca 2013.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\image.pdf","C:\Users\mauri\HD_Mau\04 - Pessoal e financeiro\Documentos pessoais\cartao ponto ECT Sintonia 2012.pdf","04 - Pessoal e financeiro","","Documentos pessoais","cartao ponto ECT Sintonia 2012.pdf"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Conserto 1.pdf","C:\Users\mauri\HD_Mau\04 - Pessoal e financeiro\Comprovantes e recibos\servico joalheria polimento 2019.pdf","04 - Pessoal e financeiro","","Comprovantes e recibos","servico joalheria polimento 2019.pdf"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 012073-3.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Administrativo\acao ordinaria 2009.38.00.012073-3 SITRAEMG GAJ 2009.doc","01 - Juridico","Peticoes","Administrativo","acao ordinaria 2009.38.00.012073-3 SITRAEMG GAJ 2009.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 2001.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Acordaos e decisoes\Civel\enunciados juizados especiais civeis Minas Gerais 2001.doc","01 - Juridico","Acordaos e decisoes","Civel","enunciados juizados especiais civeis Minas Gerais 2001.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 020940-7.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Administrativo\mandado seguranca 2006.38.00.020940-7 UFOP.doc","01 - Juridico","Peticoes","Administrativo","mandado seguranca 2006.38.00.020940-7 UFOP.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 006116-4.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Recursos\Administrativo\Recurso Administrativo Mandado Seguranca Servidor Publico Tempo Servico UFV 2010.doc","01 - Juridico","Recursos","Administrativo","Recurso Administrativo Mandado Seguranca Servidor Publico Tempo Servico UFV 2010.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 020754-8.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Civel\Acao Ordinaria SFH Caixa Economica Federal EMGEA Habita 2008.doc","01 - Juridico","Peticoes","Civel","Acao Ordinaria SFH Caixa Economica Federal EMGEA Habita 2008.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\R009.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Civel\Registro Protesto Duplicata DMI 1466-05 Duplicata 2014.doc","01 - Juridico","Peticoes","Civel","Registro Protesto Duplicata DMI 1466-05 Duplicata 2014.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\r 38332.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Acordaos e decisoes\Eleitoral\Acordao Recurso Especial Eleitoral 383-32.2012 Eleicao Macarani BA 2012.doc","01 - Juridico","Acordaos e decisoes","Eleitoral","Acordao Recurso Especial Eleitoral 383-32.2012 Eleicao Macarani BA 2012.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\068914-6.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Previdenciario\Acao Ordinaria Previdenciaria Aposentadoria Contribuicao INSS 2003.doc","01 - Juridico","Peticoes","Previdenciario","Acao Ordinaria Previdenciaria Aposentadoria Contribuicao INSS 2003.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Trabalhista\DOC 10 - recusa em assinar.pdf","C:\Users\mauri\HD_Mau\03 - Administrativo\Outros\Email Comunicacao Interna Movimentacao Pessoal GEREC Correios 2013.pdf","03 - Administrativo","","Outros","Email Comunicacao Interna Movimentacao Pessoal GEREC Correios 2013.pdf"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Civel\Marcio Antonio da Silva e Blenda Mateus da Silva 0317.08.099189-2.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Penal\Denuncia Criminal Ministerio Publico Marcios Antonio Silva Itabira MG 2008.doc","01 - Juridico","Peticoes","Penal","Denuncia Criminal Ministerio Publico Marcios Antonio Silva Itabira MG 2008.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 16-09-2014.pdf","C:\Users\mauri\HD_Mau\03 - Administrativo\Outros\Log Tecnico Upload Arquivo Cartorio Protesto Brazopolis 2014.pdf","03 - Administrativo","","Outros","Log Tecnico Upload Arquivo Cartorio Protesto Brazopolis 2014.pdf"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 021006-6.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Civel\Acao Reintegracao Posse Caixa Economica Federal Imavel Ribeirao Neves 2007.doc","01 - Juridico","Peticoes","Civel","Acao Reintegracao Posse Caixa Economica Federal Imavel Ribeirao Neves 2007.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Marcos Antonio Reis Calazans - word.doc","C:\Users\mauri\HD_Mau\04 - Pessoal e financeiro\Outros\Laudo Medico Cardiaco ECOTT 2020.doc","04 - Pessoal e financeiro","","Outros","Laudo Medico Cardiaco ECOTT 2020.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 007014-6A.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Despachos e votos\Administrativo\Embargos Declaracao Mandado Seguranca Servidor Publico 2010.doc","01 - Juridico","Despachos e votos","Administrativo","Embargos Declaracao Mandado Seguranca Servidor Publico 2010.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\023704-0.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Tributario\Acao Ordinaria Tributaria CPF Divida Ativa Uniao 2009.doc","01 - Juridico","Peticoes","Tributario","Acao Ordinaria Tributaria CPF Divida Ativa Uniao 2009.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 006372-6A.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Administrativo\Mandado Seguranca Concurso Publico Professor Quimica CEFET MG 2008.doc","01 - Juridico","Peticoes","Administrativo","Mandado Seguranca Concurso Publico Professor Quimica CEFET MG 2008.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Tacografos.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Acordaos e decisoes\Trabalhista\Apelacao Civel Prova Comercial Estrela Sul TRT 10 Regiao 2003.doc","01 - Juridico","Acordaos e decisoes","Trabalhista","Apelacao Civel Prova Comercial Estrela Sul TRT 10 Regiao 2003.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\CRF819.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Trabalhista\Contrarrazoes Reclamacao Trabalhista Correios Dirceu Magno Faria 2011.doc","01 - Juridico","Peticoes","Trabalhista","Contrarrazoes Reclamacao Trabalhista Correios Dirceu Magno Faria 2011.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\78562-55.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Despachos e votos\Administrativo\Embargos Execucao Gratificacoes Servidor Publico Uniao 2010.doc","01 - Juridico","Despachos e votos","Administrativo","Embargos Execucao Gratificacoes Servidor Publico Uniao 2010.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 007965-6.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Administrativo\Mandado Seguranca Concurso Exame Admissao Oficial CIAAR Aeronautica 2008.doc","01 - Juridico","Peticoes","Administrativo","Mandado Seguranca Concurso Exame Admissao Oficial CIAAR Aeronautica 2008.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\4469.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Pareceres e notas tecnicas\Trabalhista\Parecer Tecnico Execucao Sentenca PCCS Anesio Saturno Correios 2013.doc","01 - Juridico","Pareceres e notas tecnicas","Trabalhista","Parecer Tecnico Execucao Sentenca PCCS Anesio Saturno Correios 2013.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\022968-7.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Despachos e votos\Administrativo\Embargos Execucao Sentenca UFMG Sindicato Trabalhadores 2007.doc","01 - Juridico","Despachos e votos","Administrativo","Embargos Execucao Sentenca UFMG Sindicato Trabalhadores 2007.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 005108-8.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Civel\Acao Ordinaria Anulacao Arremacao CEF Imavel Sao Vicente 2009.doc","01 - Juridico","Peticoes","Civel","Acao Ordinaria Anulacao Arremacao CEF Imavel Sao Vicente 2009.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Eleitoral\43868-60.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Recursos\Tributario\Recurso Mandado Seguranca Contribuicao Social Previdenciaria Planar Logistica 2010.doc","01 - Juridico","Recursos","Tributario","Recurso Mandado Seguranca Contribuicao Social Previdenciaria Planar Logistica 2010.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 04-04-2014 (2).pdf","C:\Users\mauri\HD_Mau\03 - Administrativo\Outros\Log Tecnico Upload Arquivo Cartorio Protesto Brazopolis 2014 (2).pdf","03 - Administrativo","","Outros","Log Tecnico Upload Arquivo Cartorio Protesto Brazopolis 2014 (2).pdf"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Apartamento Anchieta.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Trabalhista\Edital Praca Leilao Bem Imavel Wilson Pereira TRT 3 Regiao 2011.doc","01 - Juridico","Peticoes","Trabalhista","Edital Praca Leilao Bem Imavel Wilson Pereira TRT 3 Regiao 2011.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\08682-2.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Civel\Acao Ordinaria Erro Medico Indenizacao Responsabilidade Estado MG Hospital 1994.doc","01 - Juridico","Peticoes","Civel","Acao Ordinaria Erro Medico Indenizacao Responsabilidade Estado MG Hospital 1994.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Geny - 2017 - Out 06 20.doc","C:\Users\mauri\HD_Mau\04 - Pessoal e financeiro\Outros\Tabela Gastos Pessoais Geny Chiaramonte 2017.doc","04 - Pessoal e financeiro","","Outros","Tabela Gastos Pessoais Geny Chiaramonte 2017.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 08-07-2014.pdf","C:\Users\mauri\HD_Mau\03 - Administrativo\Outros\Log Tecnico Upload Arquivo Cartorio Protesto Brazopolis 2014 (3).pdf","03 - Administrativo","","Outros","Log Tecnico Upload Arquivo Cartorio Protesto Brazopolis 2014 (3).pdf"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Apartamento Floresta - perto da Av do Contorno.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Despachos e votos\Civel\Edital leilao condominio edificio tejuco wagner lucio petronilho 2011.doc","01 - Juridico","Despachos e votos","Civel","Edital leilao condominio edificio tejuco wagner lucio petronilho 2011.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 008052-0.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Recursos\Administrativo\Mandado seguranca marcia vargas silva crf mg registro profissional.doc","01 - Juridico","Recursos","Administrativo","Mandado seguranca marcia vargas silva crf mg registro profissional.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Trabalhista\DOC 4 - FGTS - Luiz Flavio Fernandes.pdf","C:\Users\mauri\HD_Mau\04 - Pessoal e financeiro\Comprovantes e recibos\Extrato FGTS luiz flavio fernandes 2011.pdf","04 - Pessoal e financeiro","","Comprovantes e recibos","Extrato FGTS luiz flavio fernandes 2011.pdf"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Civel\FIPE - 3 congresso de processo civil - evento.doc","C:\Users\mauri\HD_Mau\03 - Administrativo\Formularios\Ficha inscricao evento fipe mauricio augusto chiaramonte vieira.doc","03 - Administrativo","","Formularios","Ficha inscricao evento fipe mauricio augusto chiaramonte vieira.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Whesley Adriano Lopes 06070892-9 (2).doc","C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Penal\Denuncia whesley adriano lopes inquerito policial 06070892.doc","01 - Juridico","Peticoes","Penal","Denuncia whesley adriano lopes inquerito policial 06070892.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\R016.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Despachos e votos\Civel\Registro protesto duplicata dmi 71186-2 2014.doc","01 - Juridico","Despachos e votos","Civel","Registro protesto duplicata dmi 71186-2 2014.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\025106-9.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Ambiental\Acao ordinaria revogacao multa ambiental itamar alves fernandes.doc","01 - Juridico","Peticoes","Ambiental","Acao ordinaria revogacao multa ambiental itamar alves fernandes.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\052830-4.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Tributario\Acao ordinaria tributaria irpf marcos antonio pereira oliveira silva.doc","01 - Juridico","Peticoes","Tributario","Acao ordinaria tributaria irpf marcos antonio pereira oliveira silva.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Mauricio Vieira - revisado.doc","C:\Users\mauri\HD_Mau\02 - Estudos e concursos\Direito Constitucional\Desequilibrio federativo mauricio augusto chiaramonte vieira.doc","02 - Estudos e concursos","","Direito Constitucional","Desequilibrio federativo mauricio augusto chiaramonte vieira.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Amostras.pdf","C:\Users\mauri\HD_Mau\03 - Administrativo\Comunicacoes internas\Circular CI DIRAD-1238 2005 apresentacao amostras.pdf","03 - Administrativo","","Comunicacoes internas","Circular CI DIRAD-1238 2005 apresentacao amostras.pdf"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\023885-8.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Recursos\Tributario\Mandado seguranca incopre engenharia comercio sa contribuicoes.doc","01 - Juridico","Recursos","Tributario","Mandado seguranca incopre engenharia comercio sa contribuicoes.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 017192-4.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Civel\Acao ordinaria raimunda dalva criscuolo parreiras caixa economica poupanca.doc","01 - Juridico","Peticoes","Civel","Acao ordinaria raimunda dalva criscuolo parreiras caixa economica poupanca.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\Eudas Maria Martins.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Recursos\Trabalhista\Embargos declaracao empresa brasileira correios telegrafos eudas maria martins.doc","01 - Juridico","Recursos","Trabalhista","Embargos declaracao empresa brasileira correios telegrafos eudas maria martins.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\023042-1.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Administrativo\Acao ordinaria apeminas pis pasep conselho diretor.doc","01 - Juridico","Peticoes","Administrativo","Acao ordinaria apeminas pis pasep conselho diretor.doc"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\Outros\documento 1892.doc","C:\Users\mauri\HD_Mau\01 - Juridico\Peticoes\Trabalhista\Parecer tecnico sandro marino silveira luz empresa brasileira correios.doc","01 - Juridico","Peticoes","Trabalhista","Parecer tecnico sandro marino silveira luz empresa brasileira correios.doc"
