tipo_registro,youtube_link,data_sessao,classe_processo,numero_processo,origem,eleicao,tribunal,tema,punchline,votacao,resultado,pedido_vista,relator,partes,advogados,analise_do_conteudo_juridico,raciocinio_juridico,fundamentacao_normativa,precedentes_citados,resoluções_citadas,composicao
Julgamento 1,http://www.youtube.com/watch?v=mLhFu5T0c0U&t=692,10/23/2025,REspe,0600318-54,São Sebastião da Grama/SP,2024,TRE-SP,"Inelegibilidade por improbidade administrativa (art. 1º, I, l, LC 64/1990) e marco temporal",Maioria do TSE mantém indeferimento: improbidade com dolo afasta registro.,Por maioria,Desprovido,,Min. Floriano de Azevedo Marques,"José Francisco Marta, Coligação ""É Hora de Avançar""",Dr. Júlio Dias Taliberti,"Recurso especial eleitoral contra indeferimento de registro de candidatura de José Francisco Marta ao cargo de Prefeito por suposta inelegibilidade prevista na LC 64/1990, alínea l, decorrente de condenação por improbidade administrativa (dano ao erário e enriquecimento ilícito). O debate centrou-se em (i) se o acórdão da Justiça Comum demonstrou os requisitos cumulativos da alínea l (dano + enriquecimento ilícito); (ii) existência de dolo específico versus culpa/negligência; e (iii) qual o marco temporal para considerar fatos supervenientes (1º turno versus data da diplomação prevista no novo art. 26-D da LC 64/90), diante de liminar do STJ que suspendeu a condenação em momento posterior. O relator entendeu não comprovado o dolo e afastou a inelegibilidade pelo mérito; a divergência majoritária entendeu demonstrado enriquecimento ilícito e dolo, aplicando o marco temporal do 1º turno e desconsiderando decisão superveniente do STJ por ter ocorrido após o pleito.","Tese vencedora (Min. Estela Aranha, acompanhada por Min. André Mendonça, Min. Cristiano Zanin, Min. Isabel Gallotti, Min. Antônio Carlos Ferreira e Min. Nunes Marques): a Justiça Eleitoral pode, sem violar a Súmula 41, analisar a fundamentação do acórdão da Justiça Comum para verificar se estão presentes os requisitos legais da inelegibilidade por improbidade (alínea l). A relatora da divergência identificou elementos fáticos concretos de enriquecimento ilícito e dolo específico (esquema de notas fiscais 'frias' e pagamento de percentuais para justificar despesas pessoais), concluindo que a inelegibilidade subsiste. Quanto ao marco temporal, aplicou-se o entendimento que fixa o 1º turno como limite para considerar fatos supervenientes (precedente ""Bandeirantes"" e Res.-TSE 23.729/2024); a liminar do STJ foi expedida após o pleito e acabou revogada, não afastando a inelegibilidade. Tese vencida (Min. Floriano de Azevedo Marques): afastou a inelegibilidade por entender que não houve demonstração de dolo específico e que a condenação na justiça comum tinha fundamento apenas em dano ao erário (art. 10), sem enriquecimento ilícito (art. 9º), além de invocar o novo art. 26-D e a decisão liminar do STJ. Conclusão do colegiado: por maioria de 6 a 1, não conheceram/proveram o recurso, mantendo o indeferimento do registro; Min. Floriano foi vencido. Decisão por maioria (6 x 1).","Constituição Federal art. 16, Lei Complementar nº 64/1990 art. 1º, I, alínea l, art. 26-D, Lei nº 8.429/1992 arts. 9º e 10, Lei nº 9.504/1997 art. 11 §10, Súmula TSE nº 41, Súmula TSE nº 43","STF - ADI 7197, TSE - Caso ""Bandeirantes"" (Agravo em REspe, Rel. Min. André Mendonça), TSE - Caso ""Catanduva""","Res.-TSE nº 23.609/2019 (Art. 52), Res.-TSE nº 23.729/2024","Min. Nunes Marques, Min. André Mendonça, Min. Cristiano Zanin, Min. Isabel Gallotti, Min. Antônio Carlos Ferreira, Min. Floriano de Azevedo Marques, Min. Estela Aranha"
Julgamento 1,http://www.youtube.com/watch?v=xYzmPvFG_-I&t=1467,10/28/2025,Lista Tríplice,0600091-61,Campo Grande/MS,,TRE-MS,Idoneidade moral para provimento de juiz substituto diante de execuções fiscais,A mera figuração no polo passivo de execuções fiscais não afasta a idoneidade quando não há fatores agravantes.,Unânime,Aprovada,,Min. Nunes Marques,"Fernando Bonfim Duque Estrada, Alfeu Coelho Pereira Júnior, David Rosa Barbosa Júnior",,"Análise dos requisitos constitucionais e legais para investidura no cargo de juiz substituto da classe de advogado, com ênfase na idoneidade moral dos indicados. Verificou-se o decênio de exercício da advocacia pelos três candidatos. Em relação a David Rosa Barbosa Júnior, foram examinadas execuções fiscais movidas pelo Município de Campo Grande: duas extintas (uma por desistência e outra por indeferimento da inicial) e uma relacionada a IPTU/2021 em fase de apelação. O relator aplicou entendimento jurisprudencial segundo o qual a mera figuração no polo passivo de execuções fiscais não macula automaticamente a idoneidade moral, salvo presença de fatores agravantes (quantidade expressiva de ações, gravidade dos fatos ou montantes elevados), circunstância não verificada no caso concreto. Concluiu-se pelo preenchimento integral dos requisitos e aprovação da lista.","Tese vencedora (unânime): o relator Min. Nunes Marques fundamentou que todos os candidatos comprovaram o decênio de advocacia e que as execuções fiscais envolvendo o 3º indicado não apresentaram, no caso concreto, elementos capazes de comprometer a idoneidade moral (duas execuções extintas e uma em apelação), aplicando precedente do TSE que exige fatores agravantes para afastar a idoneidade. Não houve tese divergente registrada; a decisão foi proferida por unanimidade. Ministros vencedores: Min. Nunes Marques (relator), Min. Cármen Lúcia, Min. Cristiano Zanin, Min. Isabel Gallotti, Min. Antônio Carlos Ferreira, Min. Floriano de Azevedo Marques, Min. Estela Aranha. Ministros vencidos: nenhum (unânime). Conclusão do colegiado: preenchimento integral dos requisitos e aprovação da lista, com encaminhamento ao Poder Executivo para nomeação.","Constituição Federal, art. 120, § 1º, inciso III, Código Eleitoral, art. 23, inciso VI, Código Eleitoral, art. 25, inciso III","TSE, LT nº 0600731-74/2019 (Rel. Min. Luís Roberto Barroso, j. 25/05/2020)","Resolução-TSE nº 23.517/2017, art. 5º","Min. Cármen Lúcia, Min. Nunes Marques, Min. Cristiano Zanin, Min. Isabel Gallotti, Min. Antônio Carlos Ferreira, Min. Floriano de Azevedo Marques, Min. Estela Aranha"
Julgamento 2,http://www.youtube.com/watch?v=xYzmPvFG_-I&t=1716,10/28/2025,Lista Tríplice,0600227-58,São Luís/MA,,TRE-MA,Idoneidade moral e aplicação de norma de gênero em listas tríplices,Condenação civil por inadimplemento relevante compromete a confiança exigida e impõe substituição na lista tríplice.,Unânime,"Determinação de retorno dos autos para substituição do segundo indicado, Luís Paulo Correia Cruz",,Min. Estela Aranha,"Pablo Savigny di Maranhão Vieira Madeira, Luís Paulo Correia Cruz, Luís Eduardo Franco Bouéres",,"Controvérsia sobre idoneidade moral do 2º indicado em razão de condenação cível por inadimplemento de ITBI e descumprimento contratual, resultando em condenação de R$ 228.200,00 (multas e danos morais). Também discutiu-se a aplicação da Resolução-TSE nº 23.746/2025 (paridade/ promoção de mulheres). A relatora concluiu que a vaga havia sido comunicada ao Tribunal de Justiça antes da vigência da nova resolução, de modo que a cota de gênero não se aplicaria à lista em apreço. Quanto ao 2º indicado, entendeu que a condenação por descumprimento contratual e inadimplemento tributário não se caracteriza como mero atraso, comprometendo a confiança exigida para o cargo, razão pela qual determinou o retorno dos autos ao TRE-MA para substituição do 2º indicado, mantendo os demais integrantes da lista.","Tese vencedora: a relatora Min. Estela Aranha aplicou o precedente citado (Questão de Ordem na LT nº 0600265-70) para concluir que a regra de paridade/ promoção de mulheres da Resolução nº 23.746/2025 não se aplica quando a vaga foi comunicada antes da vigência da norma. No mérito da idoneidade do 2º indicado, a relatora entendeu que a condenação por não recolhimento de ITBI e descumprimento contratual (R$ 228.200,00) não configura mero atraso, mas indicação de falta de confiança e credibilidade exigidas para o cargo, o que impõe a substituição do indicado. Votos de apoio integral: Min. Nunes Marques, Min. Cristiano Zanin, Min. Isabel Gallotti, Min. Antônio Carlos Ferreira e Min. Floriano de Azevedo Marques; decisão registrada como unânime pelo retorno dos autos à origem. Divergência não registrada no mérito final (decisão colegiada unânime). Ministros vencedores: Min. Estela Aranha (relatora) e demais ministros presentes (unânime). Ministros vencidos: nenhum.",Resolução-TSE nº 23.746/2025 (promoção de mulheres) - inaplicabilidade no caso concreto,"TSE, Questão de Ordem na LT nº 0600265-70 (Rio de Janeiro) (Rel. Min. André Mendonça)",Resolução-TSE nº 23.746/2025,"Min. Cármen Lúcia, Min. Nunes Marques, Min. Cristiano Zanin, Min. Isabel Gallotti, Min. Antônio Carlos Ferreira, Min. Floriano de Azevedo Marques, Min. Estela Aranha"
Julgamento 3,http://www.youtube.com/watch?v=xYzmPvFG_-I&t=2356,10/28/2025,PC,0601638-15,Brasília/DF,2020,TRE-DF,Omissão de relatórios parciais de receitas partidárias e consequências para prestação de contas,"A omissão de relatórios parciais pode ensejar ressalvas quando não houver má-fé, mas falhas graves em Fundo Partidário podem justificar desaprovação e sanções.",Suspenso,Suspenso por vista,Min. Antônio Carlos Ferreira,Min. Nunes Marques,Diretório Nacional do Partido Liberal (PL),,"Análise da omissão no envio de relatórios financeiros parciais referentes a receitas do Fundo Partidário e do FEFC nas eleições de 2020, e da gravidade dessa omissão para fins de aprovação ou desaprovação da prestação de contas. Discutiu-se se a falha comprometeu a auditabilidade e a transparência, em especial diante da divulgação de repasses pelo TSE e da natureza distinta do FEFC em relação ao Fundo Partidário. Também foi debatida a aplicação da Emenda Constitucional nº 133/2024 relativo à destinação/anistia/parcelamento de débitos de cotas raciais. O relator votou pela aprovação com ressalvas, entendendo ausência de má-fé e que os dados constaram na prestação final, além de reconhecer que o FEFC dispõe de divulgação prévia que mitiga a gravidade. A Min. Cármen Lúcia acompanhou o relator, reforçando a inexistência de má-fé no caso concreto. A Min. Isabel Gallotti divergiu e votou pela desaprovação, considerando a omissão relativa ao Fundo Partidário de grande gravidade (R$ 21 milhões) e propondo sanção de suspensão de cotas. Após a divergência, o Min. Antônio Carlos Ferreira pediu vista, e o julgamento foi suspenso aguardando seu voto. Foram propostas medidas práticas pelo relator (devolução de R$ 9.671,61 e aplicação de valores em candidaturas de negros conforme EC 133/2024), mas a conclusão colegiada ficou pendente em razão do pedido de vista.","Tese vencedora (parcialmente formada, voto não concluído): o relator Min. Nunes Marques entendeu que, embora a omissão no envio de relatórios parciais seja relevante, não houve má-fé, ocultação de valores ou comprometimento da auditabilidade final, em razão da divulgação de repasses pelo TSE e da apresentação dos dados na prestação final, razão pela qual votou pela aprovação com ressalvas e pela adoção de medidas reparatórias (devolução de sobras e aplicação de valores em candidaturas de negros, conforme EC 133/2024). A Min. Cármen Lúcia acompanhou o relator, mas ressaltou que a falha não é meramente formal. Divergência: Min. Isabel Gallotti votou pela desaprovação, por entender que a omissão relativa ao Fundo Partidário (R$ 21 milhões não informados nos relatórios parciais) tem gravidade extrema e pode impedir a transparência sobre a origem dos recursos, propondo suspensão de cotas. Pedido de vista: Min. Antônio Carlos Ferreira, cujo voto ficou pendente. Conclusão colegiada final: suspensa em razão do pedido de vista; não houve proclamação de resultado definitivo no plenário até a devolução do voto-vista.","Lei nº 9.504/1997, art. 30, inciso II, Resolução-TSE nº 23.607/2019, art. 74, inciso II, Resolução-TSE nº 23.609, art. 47, Emenda Constitucional nº 133/2024, art. 3º, parágrafo único","TSE, PC nº 0601648-59 (Rel. Min. Raul Araújo), TSE, PC nº 0601640-82 (Rel. Min. Raul Araújo), TSE, AgR no AI nº 0600055-29 (Rel. Min. Tarcísio Vieira de Carvalho, 2020), TSE, PC nº 0601637-30 (Rel. Min. Floriano de Azevedo Marques, j. 10/10/2024)","Resolução-TSE nº 23.607/2019, art. 74, inciso II, Resolução-TSE nº 23.609, art. 47","Min. Cármen Lúcia, Min. Nunes Marques, Min. Cristiano Zanin, Min. Isabel Gallotti, Min. Antônio Carlos Ferreira, Min. Floriano de Azevedo Marques, Min. Estela Aranha"
Julgamento 1,http://www.youtube.com/watch?v=F3528Qq9HzA&t=2990,11/4/2025,RPP,0600684-90,Distrito Federal/DF,,TRE-DF,Registro de partido: deferimento condicionante de adequações estatutárias,"Partido deferido, mas obrigado a ajustar estatuto para garantir democracia interna e proteção à mulher.",Unânime,Aprovada,,Min. André Mendonça,Partido Missão Nacional (Missão),Dr. Arthur Luís Mendonça Rollo,"Pedido de registro de estatuto e do órgão de direção nacional do Partido Missão. A instrução verificou requisitos formais para criação de legenda: comprovação de apoiamento mínimo de eleitores (assinaturas), constituição de diretórios estaduais em número suficiente para caracterizar caráter nacional, conformidade estatutária com a legislação (inclusive normas sobre repasse de fundos partidários) e previsão expressa de medidas de enfrentamento à violência política de gênero. Foram analisadas a suficiência das assinaturas (577.999 válidas), a presença de diretórios em pelo menos 1/3 dos estados e compatibilidade do estatuto com normas legais, com identificação de dispositivos estatutários vedados que precisavam ser adaptados.","Tese vencedora: o Relator entendeu que o pedido de registro atende aos requisitos formais e materiais para deferimento, pois comprovou-se o apoio mínimo exigido (577.999 assinaturas), presença de órgãos partidários em número suficiente de unidades da federação e inexistência de impedimento jurídico para uso do número 14. Quanto ao estatuto, o Relator identificou dispositivos incompatíveis com a legislação (art. 63, §3º e redação genérica do art. 72) e condicionou o registro à adaptação estatutária no prazo legal. Não houve tese divergente registrada no acórdão; o processo foi julgado por unanimidade. Ministros vencedores: Min. Cármen Lúcia, Min. Nunes Marques, Min. André Mendonça, Min. Isabel Gallotti, Min. Antônio Carlos Ferreira, Min. Floriano de Azevedo Marques, Min. Estela Aranha. Ministros vencidos: nenhum (unânime).","Constituição Federal, Art. 17, §2º; Constituição Federal, Art. 17, §1º; Lei nº 9.096/1995, Art. 15, inciso X","RPP 0600412-09 (Rel. Min. Edson Fachin), Pet 100 (Rel. Min. Sérgio Banhos), RPP 1702 (Rel. Min. Benedito Gonçalves)",,"Min. Cármen Lúcia, Min. Nunes Marques, Min. André Mendonça, Min. Isabel Gallotti, Min. Antônio Carlos Ferreira, Min. Floriano de Azevedo Marques, Min. Estela Aranha"
Julgamento 2,http://www.youtube.com/watch?v=F3528Qq9HzA&t=4582,11/4/2025,RO,0606570-47,Rio de Janeiro/RJ,2022,TRE-RJ,Abuso de poder político/ econômico por contratações irregulares na administração pública,Provas de contratação em massa e saques em espécie apontam desvio de finalidade e desequilibram pleito; julgamento suspenso para vista.,Suspenso,Suspenso por vista,Min. Antônio Carlos Ferreira,Min. Isabel Gallotti,"Marcelo Ribeiro Freixo, Coligação ""A Vida Vai Melhorar"", Cláudio Bonfim de Castro Silva (Governador), Thiago Pampolha Gonçalves (Vice), Rodrigo da Silva Bacellar (Deputado Estadual), Gabriel Rodrigues Lopes (Presidente da CEPERJ), Gutemberg de Paula Fonseca, Leonardo Vieira Mendes, Bernardo Rossi, Allan Borges Nogueira, Max Rodrigues Lemos, Marcos Vinícius da Silva Barbosa, Patrick Bellei, Daniele Ribeiro Barros","Dr. Paulo Henrique Teles Fagundes, Dr. Fernando Neves da Silva, Dr. Bruno Calfat, Dra. Maria Cláudia Bucchianeri, Dr. José Eduardo Alckmin, Dra. Tatiana de Pádua Cavalcante, Dr. Jordani Fernandes Ribeiro","Recursos ordinários derivados de Ações de Investigação Judicial Eleitoral que apontam abuso de poder político, econômico e conduta vedada por contratação maciça e irregular de pessoal mediante CEPERJ e UERJ durante o ano eleitoral. A análise pericial e testemunhal indicou contratação de aproximadamente 27.665 pessoas sem concurso ou seleção transparente, uso de ordens de pagamento para saques em espécie (mais de 91 mil ordens, R$ 226 milhões) e desvio de finalidade das contratações para fins eleitorais (comparecimento a eventos de campanha, distribuição de material, postagens remuneradas). Foi discutida a responsabilidade individualizada de gestores e beneficiários, a validade e alcance da prova compartilhada e questões processuais sobre tempestividade dos recursos.","Voto da Relatora: reconheceu a existência de esquema de contratação massiva e irregular (27.665 contratações) por intermédio da CEPERJ/UERJ, com ordens de pagamento para saque em espécie (mais de 91 mil ordens, R$ 226 milhões), e prova testemunhal de imposição de atividade político-eleitoral aos contratados, configurando desvio de finalidade e abuso de poder econômico/político. Procedeu à individualização das responsabilidades: atribuiu a edição de atos e participação decisória a Cláudio Castro e atuação articuladora a Rodrigo Bacellar, responsabilizando administradores executores como Gabriel Rodrigues Lopes. Em sede de preliminares, não conheceu recurso de Marcelo Freixo por intempestividade e conheceu o recurso do MPE. Em razão da gravidade e do volume probatório, a Relatora votou pelo provimento dos recursos do MPE para cassação dos diplomas de alguns investigados, aplicação de inelegibilidade por 8 anos e imposição de multas no patamar indicado, além de determinação de novas eleições para o Governo do RJ e retotalização para deputado estadual. Tese divergente/contras não consolidada no colegiado: não houve voto de outros ministros pois o julgamento foi suspenso por vista. Conclusão colegiada: Voto da Relatora favorável ao provimento das ações, com efeitos de cassação e inelegibilidade, porém julgamento suspenso por pedido de vista. Ministros que acompanharam a Relatora não foram registrados antes da suspensão; portanto não há quórum definitivo de vencedores/vencidos.","Constituição Federal, Art. 37, inciso IX; Constituição Federal, Art. 207; Lei nº 9.504/1997, Art. 73 e §4º; LC nº 64/1990, Art. 22; LC nº 105/2001","RO 0603040 (Min. Mauro Campbell), precedentes internos sobre prova compartilhada (Min. Raul Araújo, Min. André Mendonça), precedentes do STF (Min. Fux, Min. Dias Toffoli) sobre publicidade de gastos públicos e sigilo bancário",,"Min. Cármen Lúcia, Min. Nunes Marques, Min. André Mendonça, Min. Isabel Gallotti, Min. Antônio Carlos Ferreira, Min. Floriano de Azevedo Marques, Min. Estela Aranha"
Julgamento 3,http://www.youtube.com/watch?v=F3528Qq9HzA&t=4582,11/4/2025,RO,0606507-14,Rio de Janeiro/RJ,2022,TRE-RJ,Abuso de poder por contratação massiva e uso de recursos públicos em ano eleitoral,Contratações em massa e saques em espécie configuram abuso e prejudicam a normalidade eleitoral; julgamento está suspenso para vista.,Suspenso,Suspenso por vista,Min. Antônio Carlos Ferreira,Min. Isabel Gallotti,"Marcelo Ribeiro Freixo, Coligação ""A Vida Vai Melhorar"", Cláudio Bonfim de Castro Silva (Governador), Thiago Pampolha Gonçalves (Vice), Rodrigo da Silva Bacellar (Deputado Estadual), Gabriel Rodrigues Lopes (Presidente da CEPERJ), Gutemberg de Paula Fonseca, Leonardo Vieira Mendes, Bernardo Rossi, Allan Borges Nogueira, Max Rodrigues Lemos, Marcos Vinícius da Silva Barbosa, Patrick Bellei, Daniele Ribeiro Barros","Dr. Paulo Henrique Teles Fagundes, Dr. Fernando Neves da Silva, Dr. Bruno Calfat, Dra. Maria Cláudia Bucchianeri, Dr. José Eduardo Alckmin, Dra. Tatiana de Pádua Cavalcante, Dr. Jordani Fernandes Ribeiro","Recursos ordinários provenientes de Aijes sobre abuso de poder e condutas vedadas relacionadas a contratações públicas na gestão estadual durante o período eleitoral. A instrução identificou maciça contratação sem concurso via CEPERJ/UERJ, utilização de saques em espécie através de ordens de pagamento, movimentação de centenas de milhões de reais e relatos de direcionamento das contratações para fins eleitorais, o que teria promovido desequilíbrio do pleito. Discute-se também a possibilidade de responsabilização individualizada dos agentes públicos e beneficiários.","A Relatora concluiu que as provas juntadas demonstram esquema de desvio de finalidade nas contratações e utilização de recursos públicos de forma a beneficiar candidaturas, caracterizando abuso de poder político e econômico. Fundamentou a responsabilização individualizada dos gestores que editaram atos e dos dirigentes que executaram as contratações, propondo cassações de diplomas, aplicação de inelegibilidade por oito anos e multas. Aduziu ainda que provas emprestadas e compartilhadas foram manejadas validamente desde que respeitado o contraditório. No entanto, após o voto da Relatora, o Ministro Antônio Carlos Ferreira pediu vista, suspendendo o julgamento; assim não houve decisão colegiada definitiva sobre a matéria no plenário até o momento.","Constituição Federal, Art. 37, inciso IX; Constituição Federal, Art. 207; Lei nº 9.504/1997, Art. 73 e §4º; LC nº 64/1990, Art. 22; LC nº 105/2001","RO 0603040 (Min. Mauro Campbell), precedentes internos sobre prova compartilhada (Min. Raul Araújo, Min. André Mendonça), precedentes do STF (Min. Fux, Min. Dias Toffoli) sobre publicidade de gastos públicos e sigilo bancário",,"Min. Cármen Lúcia, Min. Nunes Marques, Min. André Mendonça, Min. Isabel Gallotti, Min. Antônio Carlos Ferreira, Min. Floriano de Azevedo Marques, Min. Estela Aranha"
Julgamento 1,http://www.youtube.com/watch?v=CUcNlPijLUo&t=2294,11/6/2025,PA,0600392-13,São Luís/MA,2024,TRE-MA,Homologação de resultado de plebiscito municipal,Plebiscito regular: mudança de topônimo municipal homologada pelo TSE.,Unânime,Aprovada,,Min. André Mendonça,"Município de Governador Edison Lobão, Plebiscito (opção SIM)",,"Pedido de homologação do resultado de plebiscito realizado em 06/10/2024 que submeteu à população a alteração do nome do município de Governador Edison Lobão para Ribeirãozinho do Maranhão. O TRE-MA havia homologado a ata e proclamado o resultado (SIM obteve 11.075 votos, 83,87% dos válidos). Não houve impugnações registradas, sendo verificada regularidade formal do procedimento eleitoral-administrativo.","Tese vencedora: o relator (Min. André Mendonça) concluiu pela homologação do resultado do plebiscito, por constatar que o TRE-MA procedeu à regular lavratura da ata e não houve impugnação das operações eleitorais; destacou-se a ampla vitória da opção 'SIM' (83,87%). Não houve divergência registrada no relatório; a homologação foi aprovada por todos os ministros presentes. Ministros vencedores: Min. André Mendonça, Min. Cármen Lúcia, Min. Nunes Marques, Min. Isabel Gallotti, Min. Antônio Carlos Ferreira, Min. Floriano de Azevedo Marques, Min. Estela Aranha. Ministros vencidos: nenhum (decisão unânime).",Legislação pertinente à realização de consultas populares concomitantes às eleições,,,"Min. Cármen Lúcia, Min. Nunes Marques, Min. Isabel Gallotti, Min. André Mendonça, Min. Antônio Carlos Ferreira, Min. Floriano de Azevedo Marques, Min. Estela Aranha"
Julgamento 2,http://www.youtube.com/watch?v=CUcNlPijLUo&t=2540,11/6/2025,PA,0613267-44,São Paulo/SP,,TRE-SP,Autorização excepcional para uso de funções comissionadas remanescentes do rezoneamento,"Excepcionalidade pleiteada para não paralisar prestação jurisdicional, mas decisão suspensa para aprofundamento.",Suspenso,Suspenso por vista,Min. Antônio Carlos Ferreira,Min. Isabel Gallotti,,,"Pedido do TRE-SP para autorização excepcional de utilização de funções comissionadas remanescentes de zonas extintas (rezoneamento de 2017) para lotação em novas zonas eleitorais com competência criminal especializada na capital, diante do aumento da demanda processual penal. A relatora inicialmente entendeu que a matéria demanda regulamentação geral e indeferiu; houve argumentação em sentido diverso quanto à urgência e à necessidade de solução imediata.","Tese inicial da relatora (Min. Isabel Gallotti): o pedido exige regulamentação geral do TSE para garantir isonomia entre regionais e, portanto, indeferimento pontual; sugeriu encaminhamento à Presidência para estudo de nova resolução. Tese divergente (Min. Nunes Marques): diante da demora do pedido (desde 2023) e da necessidade de evitar prejuízo à prestação jurisdicional especializada, defendeu autorização excepcional até a regulamentação definitiva. A relatora, sensibilizada, aderiu à proposta de autorizar excepcionalmente o pedido, mas houve pedido de vista do Min. Antônio Carlos Ferreira, que alegou casos similares em outros tribunais e buscou solução isonômica; por isso o julgamento foi suspenso. Ministros que manifestaram posição favorável à autorização excepcional: Min. Nunes Marques e Min. Isabel Gallotti (após ajuste); pedido de vista: Min. Antônio Carlos Ferreira. Decisão final: suspensa por vista.","Lei nº 13.150/2015, Resolução TSE nº 23.520/2017 (Art. 6º, §2º), Resolução TSE nº 23.422/2014 (Art. 9º)",,,"Min. Cármen Lúcia, Min. Nunes Marques, Min. Isabel Gallotti, Min. André Mendonça, Min. Antônio Carlos Ferreira, Min. Floriano de Azevedo Marques, Min. Estela Aranha"
Julgamento 3,http://www.youtube.com/watch?v=CUcNlPijLUo&t=3350,11/6/2025,RO,0606570-47,Rio de Janeiro/RJ,2022,TRE-RJ,Retificação de ata para correção do alcance da cassação e do valor de multa,A ata é retificada para refletir que a cassação atinge toda a chapa; multa corrigida ao mínimo legal.,Unânime,Aprovada,,Min. Isabel Gallotti,"Cláudio Castro (Governador), Thiago Pampolha (Vice-Governador), Rodrigo Bacellar",,"Questão de ordem relativa à retificação de ata de sessão anterior: a Min. Isabel Gallotti esclareceu que a cassação dos diplomas atinge a chapa majoritária completa (incluindo o Vice-Governador Thiago Pampolha), independentemente de eventual renúncia ou posse em outro cargo, e procedeu à correção do valor da multa aplicada a Thiago Pampolha para o mínimo legal de 5.000 UFIR (corrigindo referência anterior). Trata-se de ajuste de registro formal da deliberação precedente.","A Min. Isabel Gallotti fundamentou a retificação na necessidade de precisão da ata quanto aos efeitos da cassação de diplomas, esclarecendo que atinge a chapa majoritária completa e procedeu à correção do valor da multa imposta ao Vice-Governador para o patamar mínimo legal (5.000 UFIR). Não houve menção a divergência no plenário sobre a retificação; a alteração da ata foi promovida pela relatora e registrada. Ministros que apoiaram/registraram a retificação: Min. Isabel Gallotti; o plenário procedeu à correção nos termos expostos (registro implementado).",,,,"Min. Cármen Lúcia, Min. Nunes Marques, Min. Isabel Gallotti, Min. André Mendonça, Min. Antônio Carlos Ferreira, Min. Floriano de Azevedo Marques, Min. Estela Aranha"
Julgamento 4,http://www.youtube.com/watch?v=CUcNlPijLUo&t=3350,11/6/2025,RO,0606507-14,Rio de Janeiro/RJ,2022,TRE-RJ,Retificação de ata para correção do alcance da cassação e do valor de multa,A ata é retificada para refletir que a cassação atinge toda a chapa; multa corrigida ao mínimo legal.,Unânime,Aprovada,,Min. Isabel Gallotti,"Cláudio Castro (Governador), Thiago Pampolha (Vice-Governador), Rodrigo Bacellar",,"Questão de ordem relativa à retificação de ata de sessão anterior: a Min. Isabel Gallotti esclareceu que a cassação dos diplomas atinge a chapa majoritária completa (incluindo o Vice-Governador Thiago Pampolha), independentemente de eventual renúncia ou posse em outro cargo, e procedeu à correção do valor da multa aplicada a Thiago Pampolha para o mínimo legal de 5.000 UFIR (corrigindo referência anterior). Trata-se de ajuste de registro formal da deliberação precedente.","A Min. Isabel Gallotti fundamentou a retificação na necessidade de precisão da ata quanto aos efeitos da cassação de diplomas, esclarecendo que atinge a chapa majoritária completa e procedeu à correção do valor da multa imposta ao Vice-Governador para o patamar mínimo legal (5.000 UFIR). Não houve menção a divergência no plenário sobre a retificação; a alteração da ata foi promovida pela relatora e registrada. Ministros que apoiaram/registraram a retificação: Min. Isabel Gallotti; o plenário procedeu à correção nos termos expostos (registro implementado).",,,,"Min. Cármen Lúcia, Min. Nunes Marques, Min. Isabel Gallotti, Min. André Mendonça, Min. Antônio Carlos Ferreira, Min. Floriano de Azevedo Marques, Min. Estela Aranha"
Julgamento 5,http://www.youtube.com/watch?v=CUcNlPijLUo&t=3698,11/6/2025,AgRg-RO,0600086-40,Campo Grande/MS,2022,TRE-MS,Desfiliação partidária por alegada grave discriminação política pessoal,Falta de prova de grave discriminação: não há justa causa para manutenção da desfiliação sem perda do mandato.,Suspenso,Suspenso por vista,Min. Nunes Marques,Min. Antônio Carlos Ferreira,"Luís Carlos Correia de Lima (Deputado Estadual), Partido Democrático Trabalhista (PDT)",,"Agravamento regimental em recurso ordinário que discute a existência de justa causa para desfiliação partidária sem perda do mandato, sob a alegação de 'grave discriminação política pessoal'. O TRE-MS havia reconhecido a justa causa; no TSE o relator reformou entendendo não caracterizada a grave discriminação.","Voto do relator (Min. Antônio Carlos Ferreira): negar provimento ao agravo, por entender não demonstrada grave discriminação política pessoal que justificasse a desfiliação sem perda do mandato, reformando a decisão do TRE-MS. Voto-vista (Min. André Mendonça): após análise, acompanhou o relator, concluindo que a falta de sintonia política não configura o requisito de 'grave discriminação' conforme a jurisprudência do TSE. Houve pedido de vista do Min. Nunes Marques, que adiou o encerramento do julgamento; assim, o julgamento ficou suspenso com vista ao Min. Nunes Marques. Ministros que já se posicionaram acompanhando o relator: Min. Antônio Carlos Ferreira e Min. André Mendonça; pedido de vista: Min. Nunes Marques. Conclusão colegiada final: suspensa pela vista.",,Jurisprudência do TSE sobre justa causa para desfiliação partidária (entendimento restritivo quanto à caracterização de grave discriminação),,"Min. Cármen Lúcia, Min. Nunes Marques, Min. Isabel Gallotti, Min. André Mendonça, Min. Antônio Carlos Ferreira, Min. Floriano de Azevedo Marques, Min. Estela Aranha"
