"Rel","Nivel","Cat","Arq","NSub","Full"
"06 - Estudos, concursos e leitura\1_CONCURSOS\MPF\NOTAS TÉCNICAS","4","06 - Estudos, concursos e leitura","4","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\MPF\NOTAS TÉCNICAS"
"06 - Estudos, concursos e leitura\1_CONCURSOS\MPF\PENAL","4","06 - Estudos, concursos e leitura","3","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\MPF\PENAL"
"06 - Estudos, concursos e leitura\1_CONCURSOS\MPF\PREVIDENCIÁRIO","4","06 - Estudos, concursos e leitura","23","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\MPF\PREVIDENCIÁRIO"
"06 - Estudos, concursos e leitura\1_CONCURSOS\MPF\PROCESSO PENAL","4","06 - Estudos, concursos e leitura","9","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\MPF\PROCESSO PENAL"
"06 - Estudos, concursos e leitura\1_CONCURSOS\MPF\PROCESSUAL CIVIL","4","06 - Estudos, concursos e leitura","5","2","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\MPF\PROCESSUAL CIVIL"
"06 - Estudos, concursos e leitura\1_CONCURSOS\MPF\TRIBUTÁRIO","4","06 - Estudos, concursos e leitura","14","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\MPF\TRIBUTÁRIO"
"06 - Estudos, concursos e leitura\1_CONCURSOS\MPF\0. RECURSOS\Negado provimento","5","06 - Estudos, concursos e leitura","12","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\MPF\0. RECURSOS\Negado provimento"
"06 - Estudos, concursos e leitura\1_CONCURSOS\MPF\BANCA\EUGENIO PACELLI","5","06 - Estudos, concursos e leitura","1","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\MPF\BANCA\EUGENIO PACELLI"
"06 - Estudos, concursos e leitura\1_CONCURSOS\MPF\PROCESSUAL CIVIL\EXECUÇÃO FISCAL","5","06 - Estudos, concursos e leitura","5","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\MPF\PROCESSUAL CIVIL\EXECUÇÃO FISCAL"
"06 - Estudos, concursos e leitura\1_CONCURSOS\MPF\PROCESSUAL CIVIL\REPRESENTAÇÃO E SUBSTITUIÇÃO PROCESSUAL","5","06 - Estudos, concursos e leitura","10","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\MPF\PROCESSUAL CIVIL\REPRESENTAÇÃO E SUBSTITUIÇÃO PROCESSUAL"
"06 - Estudos, concursos e leitura\1_CONCURSOS\PGESP\ADMINISTRATIVO","4","06 - Estudos, concursos e leitura","4","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\PGESP\ADMINISTRATIVO"
"06 - Estudos, concursos e leitura\1_CONCURSOS\PGESP\AMBIENTAL","4","06 - Estudos, concursos e leitura","17","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\PGESP\AMBIENTAL"
"06 - Estudos, concursos e leitura\1_CONCURSOS\PGESP\DH","4","06 - Estudos, concursos e leitura","2","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\PGESP\DH"
"06 - Estudos, concursos e leitura\1_CONCURSOS\PGESP\FILOSOFIA","4","06 - Estudos, concursos e leitura","8","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\PGESP\FILOSOFIA"
"06 - Estudos, concursos e leitura\1_CONCURSOS\PGESP\FINANCEIRO","4","06 - Estudos, concursos e leitura","4","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\PGESP\FINANCEIRO"
"06 - Estudos, concursos e leitura\1_CONCURSOS\PGESP\Inscrição","4","06 - Estudos, concursos e leitura","4","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\PGESP\Inscrição"
"06 - Estudos, concursos e leitura\1_CONCURSOS\PGESP\PREVIDENCIÁRIO","4","06 - Estudos, concursos e leitura","13","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\PGESP\PREVIDENCIÁRIO"
"06 - Estudos, concursos e leitura\1_CONCURSOS\PGESP\Revisão","4","06 - Estudos, concursos e leitura","8","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\PGESP\Revisão"
"06 - Estudos, concursos e leitura\1_CONCURSOS\PGESP\TRIBUTÁRIO","4","06 - Estudos, concursos e leitura","4","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\PGESP\TRIBUTÁRIO"
"06 - Estudos, concursos e leitura\1_CONCURSOS\TJDFT\INSTITUCIONAL","4","06 - Estudos, concursos e leitura","8","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\TJDFT\INSTITUCIONAL"
"06 - Estudos, concursos e leitura\1_CONCURSOS\TJDFT\IRDRs","4","06 - Estudos, concursos e leitura","10","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\TJDFT\IRDRs"
"06 - Estudos, concursos e leitura\1_CONCURSOS\TJDFT\NOTAS TÉCNICAS","4","06 - Estudos, concursos e leitura","10","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\TJDFT\NOTAS TÉCNICAS"
"06 - Estudos, concursos e leitura\1_CONCURSOS\TJDFT\TRIBUTOS DISTRITAIS","4","06 - Estudos, concursos e leitura","3","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\TJDFT\TRIBUTOS DISTRITAIS"
"06 - Estudos, concursos e leitura\1_CONCURSOS\TRF1\2023","4","06 - Estudos, concursos e leitura","3","1","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\TRF1\2023"
"06 - Estudos, concursos e leitura\1_CONCURSOS\TRF1\2025","4","06 - Estudos, concursos e leitura","6","1","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\TRF1\2025"
"06 - Estudos, concursos e leitura\1_CONCURSOS\TRF1\2023\Inscrição","5","06 - Estudos, concursos e leitura","6","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\TRF1\2023\Inscrição"
"06 - Estudos, concursos e leitura\1_CONCURSOS\TRF1\2025\Respostas dos recursos","5","06 - Estudos, concursos e leitura","7","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\TRF1\2025\Respostas dos recursos"
"06 - Estudos, concursos e leitura\1_CONCURSOS\TRF5\STF","4","06 - Estudos, concursos e leitura","10","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\TRF5\STF"
"06 - Estudos, concursos e leitura\1_CONCURSOS\TRF5\STJ","4","06 - Estudos, concursos e leitura","15","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\TRF5\STJ"
"06 - Estudos, concursos e leitura\1_CONCURSOS\TRF6\Cadernos","4","06 - Estudos, concursos e leitura","47","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\TRF6\Cadernos"
"06 - Estudos, concursos e leitura\1_CONCURSOS\TRF6\Inscrição","4","06 - Estudos, concursos e leitura","2","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\TRF6\Inscrição"
"06 - Estudos, concursos e leitura\1_CONCURSOS\TRF6\Provas de Sentença","4","06 - Estudos, concursos e leitura","54","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\TRF6\Provas de Sentença"
"06 - Estudos, concursos e leitura\1_CONCURSOS\TRF6\Provas Discursivas","4","06 - Estudos, concursos e leitura","20","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\TRF6\Provas Discursivas"
"06 - Estudos, concursos e leitura\1_CONCURSOS\TRF6\RECURSOS DISCURSIVAS","4","06 - Estudos, concursos e leitura","15","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\TRF6\RECURSOS DISCURSIVAS"
"06 - Estudos, concursos e leitura\1_CONCURSOS\TRF6\Rio de Janeiro","4","06 - Estudos, concursos e leitura","3","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\TRF6\Rio de Janeiro"
"06 - Estudos, concursos e leitura\1_CONCURSOS\TRF6\Súmulas","4","06 - Estudos, concursos e leitura","9","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\TRF6\Súmulas"
"06 - Estudos, concursos e leitura\1_CONCURSOS\TRF6\TECcon","4","06 - Estudos, concursos e leitura","8","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\TRF6\TECcon"
"06 - Estudos, concursos e leitura\1_CONCURSOS\TRF6\Temas Quentes para Fase Escrita","4","06 - Estudos, concursos e leitura","22","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\TRF6\Temas Quentes para Fase Escrita"
"06 - Estudos, concursos e leitura\ENFAM\Módulo 1","3","06 - Estudos, concursos e leitura","11","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\ENFAM\Módulo 1"
"06 - Estudos, concursos e leitura\ENFAM\Módulo 2","3","06 - Estudos, concursos e leitura","21","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\ENFAM\Módulo 2"
"06 - Estudos, concursos e leitura\ENFAM\Módulo 3","3","06 - Estudos, concursos e leitura","11","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\ENFAM\Módulo 3"
"06 - Estudos, concursos e leitura\ENFAM\Trilha de capacitação","3","06 - Estudos, concursos e leitura","6","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\ENFAM\Trilha de capacitação"
"06 - Estudos, concursos e leitura\ITALIANO\CAPÍTULO 1","3","06 - Estudos, concursos e leitura","1","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\ITALIANO\CAPÍTULO 1"
"06 - Estudos, concursos e leitura\ITALIANO\DOCUMENTOS DO CURSO","3","06 - Estudos, concursos e leitura","2","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\ITALIANO\DOCUMENTOS DO CURSO"
"06 - Estudos, concursos e leitura\ITALIANO\Os números e as horas","3","06 - Estudos, concursos e leitura","3","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\ITALIANO\Os números e as horas"
"06 - Estudos, concursos e leitura\MAPAS DA LULU\outros materiais","3","06 - Estudos, concursos e leitura","6","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\MAPAS DA LULU\outros materiais"
"06 - Estudos, concursos e leitura\My Kindle Content\B003WUYRGI_EBOK","3","06 - Estudos, concursos e leitura","3","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\My Kindle Content\B003WUYRGI_EBOK"
"06 - Estudos, concursos e leitura\My Kindle Content\B005EOCESI_EBOK","3","06 - Estudos, concursos e leitura","3","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\My Kindle Content\B005EOCESI_EBOK"
"06 - Estudos, concursos e leitura\My Kindle Content\B00AGZCJV2_EBOK","3","06 - Estudos, concursos e leitura","3","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\My Kindle Content\B00AGZCJV2_EBOK"
"06 - Estudos, concursos e leitura\My Kindle Content\B00KDLKF6A_EBOK","3","06 - Estudos, concursos e leitura","6","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\My Kindle Content\B00KDLKF6A_EBOK"
"06 - Estudos, concursos e leitura\My Kindle Content\B00NGR25GQ_EBOK","3","06 - Estudos, concursos e leitura","6","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\My Kindle Content\B00NGR25GQ_EBOK"
"06 - Estudos, concursos e leitura\My Kindle Content\B01DJNCPAM_EBOK","3","06 - Estudos, concursos e leitura","5","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\My Kindle Content\B01DJNCPAM_EBOK"
"06 - Estudos, concursos e leitura\My Kindle Content\B01J4J9XRI_EBOK","3","06 - Estudos, concursos e leitura","7","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\My Kindle Content\B01J4J9XRI_EBOK"
"06 - Estudos, concursos e leitura\My Kindle Content\B06WVDYWWG_EBSP","3","06 - Estudos, concursos e leitura","2","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\My Kindle Content\B06WVDYWWG_EBSP"
"06 - Estudos, concursos e leitura\My Kindle Content\B073DGKR6Z_EBOK","3","06 - Estudos, concursos e leitura","7","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\My Kindle Content\B073DGKR6Z_EBOK"
"06 - Estudos, concursos e leitura\My Kindle Content\B07G87HKB7_EBOK","3","06 - Estudos, concursos e leitura","6","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\My Kindle Content\B07G87HKB7_EBOK"
"06 - Estudos, concursos e leitura\My Kindle Content\B07TTJR74W_EBOK","3","06 - Estudos, concursos e leitura","6","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\My Kindle Content\B07TTJR74W_EBOK"
"06 - Estudos, concursos e leitura\My Kindle Content\B08563VTJP_EBOK","3","06 - Estudos, concursos e leitura","6","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\My Kindle Content\B08563VTJP_EBOK"
"06 - Estudos, concursos e leitura\My Kindle Content\B087YT8YDW_EBOK","3","06 - Estudos, concursos e leitura","6","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\My Kindle Content\B087YT8YDW_EBOK"
"06 - Estudos, concursos e leitura\My Kindle Content\B08B491SQJ_EBOK","3","06 - Estudos, concursos e leitura","6","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\My Kindle Content\B08B491SQJ_EBOK"
"06 - Estudos, concursos e leitura\My Kindle Content\B0CW198LXB_EBOK","3","06 - Estudos, concursos e leitura","6","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\My Kindle Content\B0CW198LXB_EBOK"
"06 - Estudos, concursos e leitura\TESE\(Recuperados do backup OneDrive)","3","06 - Estudos, concursos e leitura","2","1","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\(Recuperados do backup OneDrive)"
"06 - Estudos, concursos e leitura\TESE\Acordo USP","3","06 - Estudos, concursos e leitura","3","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Acordo USP"
"06 - Estudos, concursos e leitura\TESE\ARTIGOS (a publicar)","3","06 - Estudos, concursos e leitura","5","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\ARTIGOS (a publicar)"
"06 - Estudos, concursos e leitura\TESE\Bibliografia de apoio","3","06 - Estudos, concursos e leitura","78","16","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Bibliografia de apoio"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)","3","06 - Estudos, concursos e leitura","0","8","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)"
"06 - Estudos, concursos e leitura\TESE\DISSERTAÇÃO","3","06 - Estudos, concursos e leitura","6","1","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\DISSERTAÇÃO"
"06 - Estudos, concursos e leitura\TESE\GRUPO TSE","3","06 - Estudos, concursos e leitura","8","5","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\GRUPO TSE"
"06 - Estudos, concursos e leitura\TESE\MARIA PIA GUERRA","3","06 - Estudos, concursos e leitura","56","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\MARIA PIA GUERRA"
"06 - Estudos, concursos e leitura\TESE\PAOLO RICCI","3","06 - Estudos, concursos e leitura","1","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\PAOLO RICCI"
"06 - Estudos, concursos e leitura\TESE\Processo seletivo - Doutorado - 2023","3","06 - Estudos, concursos e leitura","11","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Processo seletivo - Doutorado - 2023"
"06 - Estudos, concursos e leitura\TESE\Processo seletivo - Mestrado - 2019","3","06 - Estudos, concursos e leitura","20","1","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Processo seletivo - Mestrado - 2019"
"06 - Estudos, concursos e leitura\TESE\USP","3","06 - Estudos, concursos e leitura","7","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\USP"
"06 - Estudos, concursos e leitura\TESE\(Recuperados do backup OneDrive)\GRUPO TSE","4","06 - Estudos, concursos e leitura","0","1","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\(Recuperados do backup OneDrive)\GRUPO TSE"
"06 - Estudos, concursos e leitura\TESE\(Recuperados do backup OneDrive)\GRUPO TSE\Abordagem histórica","5","06 - Estudos, concursos e leitura","3","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\(Recuperados do backup OneDrive)\GRUPO TSE\Abordagem histórica"
"06 - Estudos, concursos e leitura\TESE\Bibliografia de apoio\Benito Mussolini","4","06 - Estudos, concursos e leitura","1","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Bibliografia de apoio\Benito Mussolini"
"06 - Estudos, concursos e leitura\TESE\Bibliografia de apoio\Cassação de mandato","4","06 - Estudos, concursos e leitura","10","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Bibliografia de apoio\Cassação de mandato"
"06 - Estudos, concursos e leitura\TESE\Bibliografia de apoio\Conrado Hubner Mendes","4","06 - Estudos, concursos e leitura","1","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Bibliografia de apoio\Conrado Hubner Mendes"
"06 - Estudos, concursos e leitura\TESE\Bibliografia de apoio\Fundamentação da decisão judicial","4","06 - Estudos, concursos e leitura","5","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Bibliografia de apoio\Fundamentação da decisão judicial"
"06 - Estudos, concursos e leitura\TESE\Bibliografia de apoio\Gilberto Bercovici","4","06 - Estudos, concursos e leitura","1","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Bibliografia de apoio\Gilberto Bercovici"
"06 - Estudos, concursos e leitura\TESE\Bibliografia de apoio\Joaquim Francisco de Assis Brasil","4","06 - Estudos, concursos e leitura","11","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Bibliografia de apoio\Joaquim Francisco de Assis Brasil"
"06 - Estudos, concursos e leitura\TESE\Bibliografia de apoio\José Murilo de Carvalho","4","06 - Estudos, concursos e leitura","2","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Bibliografia de apoio\José Murilo de Carvalho"
"06 - Estudos, concursos e leitura\TESE\Bibliografia de apoio\João Crisóstomo da Rocha Cabral","4","06 - Estudos, concursos e leitura","1","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Bibliografia de apoio\João Crisóstomo da Rocha Cabral"
"06 - Estudos, concursos e leitura\TESE\Bibliografia de apoio\Judicialização","4","06 - Estudos, concursos e leitura","3","3","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Bibliografia de apoio\Judicialização"
"06 - Estudos, concursos e leitura\TESE\Bibliografia de apoio\Lucas Brandão","4","06 - Estudos, concursos e leitura","1","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Bibliografia de apoio\Lucas Brandão"
"06 - Estudos, concursos e leitura\TESE\Bibliografia de apoio\PABLO HOLMES","4","06 - Estudos, concursos e leitura","2","1","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Bibliografia de apoio\PABLO HOLMES"
"06 - Estudos, concursos e leitura\TESE\Bibliografia de apoio\Pesquisa empírica","4","06 - Estudos, concursos e leitura","41","1","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Bibliografia de apoio\Pesquisa empírica"
"06 - Estudos, concursos e leitura\TESE\Bibliografia de apoio\Raimundo Faoro","4","06 - Estudos, concursos e leitura","2","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Bibliografia de apoio\Raimundo Faoro"
"06 - Estudos, concursos e leitura\TESE\Bibliografia de apoio\Teresa Vale","4","06 - Estudos, concursos e leitura","1","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Bibliografia de apoio\Teresa Vale"
"06 - Estudos, concursos e leitura\TESE\Bibliografia de apoio\Teses e dissertações da UnB","4","06 - Estudos, concursos e leitura","11","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Bibliografia de apoio\Teses e dissertações da UnB"
"06 - Estudos, concursos e leitura\TESE\Bibliografia de apoio\Walter Costa Porto","4","06 - Estudos, concursos e leitura","3","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Bibliografia de apoio\Walter Costa Porto"
"06 - Estudos, concursos e leitura\TESE\Bibliografia de apoio\Judicialização\DA POLÍTICA","5","06 - Estudos, concursos e leitura","30","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Bibliografia de apoio\Judicialização\DA POLÍTICA"
"06 - Estudos, concursos e leitura\TESE\Bibliografia de apoio\Judicialização\DAS ELEIÇÕES","5","06 - Estudos, concursos e leitura","39","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Bibliografia de apoio\Judicialização\DAS ELEIÇÕES"
"06 - Estudos, concursos e leitura\TESE\Bibliografia de apoio\Judicialização\SÉRGIO ABRANCHES (indicações)","5","06 - Estudos, concursos e leitura","3","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Bibliografia de apoio\Judicialização\SÉRGIO ABRANCHES (indicações)"
"06 - Estudos, concursos e leitura\TESE\Bibliografia de apoio\PABLO HOLMES\BIBLIOGRAFIA IPOL","5","06 - Estudos, concursos e leitura","32","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Bibliografia de apoio\PABLO HOLMES\BIBLIOGRAFIA IPOL"
"06 - Estudos, concursos e leitura\TESE\Bibliografia de apoio\Pesquisa empírica\Jurimetria","5","06 - Estudos, concursos e leitura","7","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Bibliografia de apoio\Pesquisa empírica\Jurimetria"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\FILOSOFIA POLÍTICA E DIREITO CONSTITUCIONAL","4","06 - Estudos, concursos e leitura","30","1","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\FILOSOFIA POLÍTICA E DIREITO CONSTITUCIONAL"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\HISTÓRIA DO DIREITO PÚBLICO","4","06 - Estudos, concursos e leitura","8","10","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\HISTÓRIA DO DIREITO PÚBLICO"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\MATERIAIS TARCÍCIO VIEIRA (Graduação)","4","06 - Estudos, concursos e leitura","0","12","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\MATERIAIS TARCÍCIO VIEIRA (Graduação)"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\PESQUISA EMPÍRICA DO DIREITO","4","06 - Estudos, concursos e leitura","21","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\PESQUISA EMPÍRICA DO DIREITO"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\PRÁTICA DO ENSINO E FORMAÇÃO EM DIREITO","4","06 - Estudos, concursos e leitura","4","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\PRÁTICA DO ENSINO E FORMAÇÃO EM DIREITO"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO ELEITORAL","4","06 - Estudos, concursos e leitura","12","11","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO ELEITORAL"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO","4","06 - Estudos, concursos e leitura","7","6","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM DIREITO TRIBUTÁRIO"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM PROCESSO ADMINSTRATIVO","4","06 - Estudos, concursos e leitura","17","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\TÓPICOS EM PROCESSO ADMINSTRATIVO"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\FILOSOFIA POLÍTICA E DIREITO CONSTITUCIONAL\TEXTOS","5","06 - Estudos, concursos e leitura","46","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\FILOSOFIA POLÍTICA E DIREITO CONSTITUCIONAL\TEXTOS"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\HISTÓRIA DO DIREITO PÚBLICO\Documentos para inscrição","5","06 - Estudos, concursos e leitura","12","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\HISTÓRIA DO DIREITO PÚBLICO\Documentos para inscrição"
"06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\HISTÓRIA DO DIREITO PÚBLICO\SEMINÁRIO 10","5","06 - Estudos, concursos e leitura","5","0","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\Disciplinas (créditos)\HISTÓRIA DO DIREITO PÚBLICO\SEMINÁRIO 10"
