Tema,Julgado em,Tese Firmada,Processo,Questão submetida a julgamento,Anotações NUGEPNAC 1,Informações Complementares,Repercussão Geral,Órgão Julgador,Situação do Tema,Ramo do direito,Subramos,Relator Atual,Tribunal de Origem,Trânsito em Julgado,Ref_Sum,Súmula Originada do Tema,Súmula Originária do PUIL,Data de Afetação,Delimitação do Julgado,Estado de Deduplicação,Número de Registro,RRC,Entendimento Anterior,Observação de Afetação,Audiência Pública,Data de Admissão,Data de teração da Tese Firmada,Data de Desafetação,Embargo de Divergência,Embargos de Declaração,Observação de Admissão,Observação de Desafetação,Observação de Recusa,Relator que Afetou o Processo,Referência,Processo STF,Vista MPF
951,,,REsp 1595745/SP,"(a) Análise da sistemática de cálculo da renda mensal inicial no período de vigência da Consolidação das Leis da Previdência Social de 1984; e (b) A incidência dos critérios elencados no art. 144 da Lei nº 8.213/91 e, consequentemente, a possibilidade de se mesclar as regras de cálculos ínsitas na legislação revogada com a nova aos benefícios concedidos no denominado período Buraco Negro.","RRC de Origem (art. 543-C, §1º, do CPC/73). Afetado na sessão eletrônica iniciada em 09/05/2018 e finalizada em 15/05/2018 (Primeira Seção). A Primeira Seção, na sessão de julgamento realizada em 23/6/2021, acolheu a questão de ordem para desafetar os recursos especiais apresentados como representativos da controvérsia, nos termos do voto do Sr. Ministro Relator. Tema cancelado por determinação do Desembargador convocado do TRF5 Manoel Erhardt (sucessor de acervo), memorando SEI 036180/2022, nos seguintes termos: ""[... ] tendo em vista que a controvérsia pertinente à incidência dos critérios elencados no art. 144 da Lei nº 8.213/1991 e, consequentemente, a possibilidade de se mesclar as regras de cálculos ínsitas na legislação revogada com a nova aos benefícios concedidos no denominado período Buraco Negro, foi decidida pelo Colendo Supremo Tribunal Federal, em Repercussão Geral no Recurso Extraordinário 937.595/SP - Tema 930, no qual se decidiu que a questão tem natureza eminentemente constitucional.""","Há determinação de suspensão da tramitação de processos em todo território nacional, inclusive que tramitem nos juizados especiais (acórdão publicado no DJe de 29/06/2018).",Tema 334/STF - Direito a cálculo de benefício de aposentadoria de acordo com legislação vigente à época do preenchimento dos requisitos exigidos para sua concessão.,1ª Seção,Cancelado,DIREITO PREVIDENCIÁRIO,"DIREITO PREVIDENCIÁRIO, RMI - Renda Mensal Inicial, RMI - Renda Mensal Inicial, RMI pelo art. 202 CF/88 (média dos 36 últimos salários-de-contribuição), Reajustes e Revisões Específicas",MANOEL ERHARDT (DESEMBARGADOR CONVOCADO DO TRF5),TRF3,,,,,,,Duplicado,201601048966,Não,,,,,,6/30/2021,,,,,,NAPOLEÃO NUNES MAIA FILHO,,,
952,,"O reajuste de mensalidade de plano de saúde individual ou familiar fundado na mudança de faixa etária do beneficiário é válido desde que (i) haja previsão contratual, (ii) sejam observadas as normas expedidas pelos órgãos governamentais reguladores e (iii) não sejam aplicados percentuais desarrazoados ou eatórios que, concretamente e sem base atuarial idônea, onerem excessivamente o consumidor ou discriminem o idoso.",REsp 1568244/RJ,Discute-se a validade da cláusula contratual de plano de saúde que prevê o aumento da mensalidade conforme a mudança de faixa etária do usuário.,"RRC de Origem (art. 543-C, §1º, do CPC/73). Vide Tema 1016/STJ.","O Ministro Relator determinou a suspensão da ""tramitação dos processos (...) que versem a mesma matéria"" (Decisão de afetação publicada no DJe de 18/5/2016). A Segunda Seção, no julgamento do tema, definiu (acórdão publicado no DJe de 19/12/2016): a) No tocante aos contratos antigos e não adaptados, isto é, aos seguros e planos de saúde firmados antes da entrada em vigor da Lei nº 9.656/1998, devese seguir o que consta no contrato, respeitadas, quanto à abusividade dos percentuais de aumento, as normas da legislação consumerista e, quanto à validade formal da cláusula, as diretrizes da Súmula Normativa nº 3/2001 da ANS. b) Em se tratando de contrato (novo) firmado ou adaptado entre 2/1/1999 e 31/12/2003, deverão ser cumpridas as regras constantes na Resolução CONSU nº 6/1998, a qual determina a observância de 7 (sete) faixas etárias e do limite de variação entre a primeira e a última (o reajuste dos maiores de 70 anos não poderá ser superior a 6 (seis) vezes o previsto para os usuários entre 0 e 17 anos), não podendo também a variação de valor na contraprestação atingir o usuário idoso vinculado ao plano ou seguro saúde há mais de 10 (dez) anos. c) Para os contratos (novos) firmados a partir de 1º/1/2004, incidem as regras da RN nº 63/2003 da ANS, que prescreve a observância: (i) de 10 (dez) faixas etárias, a última aos 59 anos; (ii) do valor fixado para a última faixa etária não poder ser superior a 6 (seis) vezes o previsto para a primeira; e (iii) da variação acumulada entre a sétima e décima faixas não poder ser superior à variação cumulada entre a primeira e sétima faixas.",Tema 381/STF - Aplicação do Estatuto do Idoso a contrato de plano de saúde firmado anteriormente a sua vigência.,2ª Seção,Trânsito em Julgado,DIREITO DO CONSUMIDOR,DIREITO DO CONSUMIDOR,RICARDO VILLAS BÔAS CUEVA,TJRJ,05/09/2018,,,,,,Único,201502972780,Sim,,,,,,,,,,,,RICARDO VILLAS BÔAS CUEVA,,,
953,08/02/2017,A cobrança de juros capitalizados nos contratos de mútuo é permitida quando houver expressa pactuação.,REsp 1388972/SC,Discute-se a possibilidade de cobrança de capitalização anual de juros independentemente de expressa pactuação entre as partes.,"RRC de Origem (art. 543-C, §1º, do CPC/73).
O Ministro Relator determinou a suspensão da ""tramitação de outros recursos especiais que versem sobre a mesma matéria (art. 1.037, II, do NCPC)"" (Decisão de afetação publicada no DJe de 18/5/2016).",Ver Tema 246/STJ.,,2ª Seção,Trânsito em Julgado,DIREITO CIVIL,"Capitalização / Anatocismo, Obrigações, Inadimplemento, Juros de Mora - Legais / Contratuais, DIREITO CIVIL, Espécies de Contratos, Contratos Bancários",MARCO BUZZI,TJSC,03/05/2017,539,,,,,Único,201301760262,Sim,,,,,,,,,,,,MARCO BUZZI,,,
953,,A cobrança de juros capitalizados nos contratos de mútuo é permitida quando houver expressa pactuação.,REsp 1593858/PR,Discute-se a possibilidade de cobrança de capitalização anual de juros independentemente de expressa pactuação entre as partes.,"RRC de Origem (art. 543-C, §1º, do CPC/73).
O Ministro Relator determinou a suspensão da ""tramitação de outros recursos especiais que versem sobre a mesma matéria (art. 1.037, II, do NCPC)"" (Decisão de afetação publicada no DJe de 18/5/2016).",Ver Tema 246/STJ.,,2ª Seção,Trânsito em Julgado,DIREITO CIVIL,"Capitalização / Anatocismo, Obrigações, Inadimplemento, Juros de Mora - Legais / Contratuais, DIREITO CIVIL, Espécies de Contratos, Contratos Bancários",MARCO BUZZI,TJPR,,539,,,,,Duplicado,201600795830,Não,,,,,,3/20/2017,,,,,,MARCO BUZZI,,,
954,,,REsp 1525174/RS,"- A indevida cobrança de valores referentes à teração do plano de franquia / plano de serviços sem a solicitação do usuário, com o consequente pedido de indenização por danos morais, em contrato de prestação de serviços de telefonia fixa;- ocorrência de dano moral indenizável, em virtude da cobrança de serviços advindos da teração do plano de franquia / plano de serviços de telefonia fixa sem a solicitação do usuário, bem como, se configurado o dano, seria aplicável o reconhecimento ""in re ipsa"" ou a necessidade de comprovação nos autos;- prazo prescricional incidente em caso de pretensão à repetição de valores supostamente pagos a maior ou indevidamente cobrados em se tratando de serviços não contratados de telefonia fixa advindos da teração do plano de franquia / plano de serviços sem a solicitação do usuário, - se decenal (art. 205 do Código Civil), trienal (art. 206, §3º, IV, do Código Civil) ou outro prazo;- repetição de indébito simples ou em dobro e, se em dobro, se prescinde, ou não, da comprovação de dolo ou má-fé do credor (art. 42, parágrafo único, do Código de Defesa do Consumidor) ou da sua culpa (imprudência, negligência e imperícia);- abrangência da repetição de indébito - se limitada aos pagamentos documentalmente comprovados pela autora na fase instrutória ou passível de o quantum ser apurado em sede de liquidação de sentença, mediante determinação à parte ré de apresentação de documentos.","RRC de Origem (art. 543-C, §1º, do CPC/73). REsp nº 1.525.131/RS afetado pela Min. Assusete Magalhães, Relatora, conforme decisão publicada no DJe de 05/12/2017. A Primeira Seção, na sessão de julgamento do dia 8/5/2019, acolheu questão de ordem, a fim de que o julgamento do Recurso Especial nº 1.525.174/RS seja sobrestado, até o julgamento, pela Corte Especial, dos cinco Embargos de Divergência que discutem as hipóteses de aplicação da repetição em dobro, prevista no art. 42, parágrafo único, do CDC, em telefonia fixa, nos termos do voto da Sra. Ministra Relatora. (EARESP 664.888/RS, EARESP 676.608/RS, EARESP 600.663/RS, EARESP 622.897/RS e ERESP 1.413.542/RS)","A Primeira Seção, na sessão de julgamento realizada em 13/12/2023, acolheu questão de ordem proposta pela Ministra relatora e determinou a remessa do feito à Corte Especial, para julgamento do presente Recurso Especial representativo da controvérsia, com sua redistribuição, por prevenção, ao Ministro HUMBERTO MARTINS. A Primeira Seção, na sessão de julgamento de 14/12/2016, procedeu à nova afetação do tema, nos termos do art. 1.036 do CPC, ""ratificando a decisão de afetação anteriormente proferida pelo Ministro LUIS FELIPE SALOMÃO, e da qual já resultou a suspensão de processos análogos, em todo o território nacional"" (acórdão publicado no DJe de 19/12/2016). Afetação originária: Segunda Seção. Decisão do Min. Luis Felipe Salomão publicada no DJe de 07/06/2016. teração de competência: Segunda Seção para Primeira Seção. Motivo da teração: redistribuição do REsp 1.525.174/RS ante a decisão proferida pela Corte Especial no CC 138.405/DF que reconheceu a competência da Primeira Seção para julgar a matéria objeto deste tema (acórdão publicado no DJe de 10/10/2016).",,Corte Especial,Sobrestado,DIREITO DO CONSUMIDOR,"Telefonia, Indenização por Dano Moral",TEODORO SILVA SANTOS,TJRS,,,,,,,Único,201500847679,Sim,,,,,,,,,,,,ASSUSETE MAGALHÃES,,,4/7/2016
954,,,REsp 1525134/RS,"- A indevida cobrança de valores referentes à teração do plano de franquia / plano de serviços sem a solicitação do usuário, com o consequente pedido de indenização por danos morais, em contrato de prestação de serviços de telefonia fixa;- ocorrência de dano moral indenizável, em virtude da cobrança de serviços advindos da teração do plano de franquia / plano de serviços de telefonia fixa sem a solicitação do usuário, bem como, se configurado o dano, seria aplicável o reconhecimento ""in re ipsa"" ou a necessidade de comprovação nos autos;- prazo prescricional incidente em caso de pretensão à repetição de valores supostamente pagos a maior ou indevidamente cobrados em se tratando de serviços não contratados de telefonia fixa advindos da teração do plano de franquia / plano de serviços sem a solicitação do usuário, - se decenal (art. 205 do Código Civil), trienal (art. 206, §3º, IV, do Código Civil) ou outro prazo;- repetição de indébito simples ou em dobro e, se em dobro, se prescinde, ou não, da comprovação de dolo ou má-fé do credor (art. 42, parágrafo único, do Código de Defesa do Consumidor) ou da sua culpa (imprudência, negligência e imperícia);- abrangência da repetição de indébito - se limitada aos pagamentos documentalmente comprovados pela autora na fase instrutória ou passível de o quantum ser apurado em sede de liquidação de sentença, mediante determinação à parte ré de apresentação de documentos.","RRC de Origem (art. 543-C, §1º, do CPC/73). REsp nº 1.525.131/RS afetado pela Min. Assusete Magalhães, Relatora, conforme decisão publicada no DJe de 05/12/2017. A Primeira Seção, na sessão de julgamento do dia 8/5/2019, acolheu questão de ordem, a fim de que o julgamento do Recurso Especial nº 1.525.174/RS seja sobrestado, até o julgamento, pela Corte Especial, dos cinco Embargos de Divergência que discutem as hipóteses de aplicação da repetição em dobro, prevista no art. 42, parágrafo único, do CDC, em telefonia fixa, nos termos do voto da Sra. Ministra Relatora. (EARESP 664.888/RS, EARESP 676.608/RS, EARESP 600.663/RS, EARESP 622.897/RS e ERESP 1.413.542/RS)","A Primeira Seção, na sessão de julgamento realizada em 13/12/2023, acolheu questão de ordem proposta pela Ministra relatora e determinou a remessa do feito à Corte Especial, para julgamento do presente Recurso Especial representativo da controvérsia, com sua redistribuição, por prevenção, ao Ministro HUMBERTO MARTINS. A Primeira Seção, na sessão de julgamento de 14/12/2016, procedeu à nova afetação do tema, nos termos do art. 1.036 do CPC, ""ratificando a decisão de afetação anteriormente proferida pelo Ministro LUIS FELIPE SALOMÃO, e da qual já resultou a suspensão de processos análogos, em todo o território nacional"" (acórdão publicado no DJe de 19/12/2016). Afetação originária: Segunda Seção. Decisão do Min. Luis Felipe Salomão publicada no DJe de 07/06/2016. teração de competência: Segunda Seção para Primeira Seção. Motivo da teração: redistribuição do REsp 1.525.174/RS ante a decisão proferida pela Corte Especial no CC 138.405/DF que reconheceu a competência da Primeira Seção para julgar a matéria objeto deste tema (acórdão publicado no DJe de 10/10/2016).",,Corte Especial,Sobrestado,DIREITO DO CONSUMIDOR,"Telefonia, Indenização por Dano Moral",TEODORO SILVA SANTOS,TJRS,,,,,7/6/2016,,Duplicado,201500848820,Não,,,,,,6/24/2016,,,,,,LUIS FELIPE SALOMÃO,,,7/6/2016
954,,,REsp 1525131/RS,"- A indevida cobrança de valores referentes à teração do plano de franquia / plano de serviços sem a solicitação do usuário, com o consequente pedido de indenização por danos morais, em contrato de prestação de serviços de telefonia fixa;- ocorrência de dano moral indenizável, em virtude da cobrança de serviços advindos da teração do plano de franquia / plano de serviços de telefonia fixa sem a solicitação do usuário, bem como, se configurado o dano, seria aplicável o reconhecimento ""in re ipsa"" ou a necessidade de comprovação nos autos;- prazo prescricional incidente em caso de pretensão à repetição de valores supostamente pagos a maior ou indevidamente cobrados em se tratando de serviços não contratados de telefonia fixa advindos da teração do plano de franquia / plano de serviços sem a solicitação do usuário, - se decenal (art. 205 do Código Civil), trienal (art. 206, §3º, IV, do Código Civil) ou outro prazo;- repetição de indébito simples ou em dobro e, se em dobro, se prescinde, ou não, da comprovação de dolo ou má-fé do credor (art. 42, parágrafo único, do Código de Defesa do Consumidor) ou da sua culpa (imprudência, negligência e imperícia);- abrangência da repetição de indébito - se limitada aos pagamentos documentalmente comprovados pela autora na fase instrutória ou passível de o quantum ser apurado em sede de liquidação de sentença, mediante determinação à parte ré de apresentação de documentos.","RRC de Origem (art. 543-C, §1º, do CPC/73). REsp nº 1.525.131/RS afetado pela Min. Assusete Magalhães, Relatora, conforme decisão publicada no DJe de 05/12/2017. A Primeira Seção, na sessão de julgamento do dia 8/5/2019, acolheu questão de ordem, a fim de que o julgamento do Recurso Especial nº 1.525.174/RS seja sobrestado, até o julgamento, pela Corte Especial, dos cinco Embargos de Divergência que discutem as hipóteses de aplicação da repetição em dobro, prevista no art. 42, parágrafo único, do CDC, em telefonia fixa, nos termos do voto da Sra. Ministra Relatora. (EARESP 664.888/RS, EARESP 676.608/RS, EARESP 600.663/RS, EARESP 622.897/RS e ERESP 1.413.542/RS)","A Primeira Seção, na sessão de julgamento realizada em 13/12/2023, acolheu questão de ordem proposta pela Ministra relatora e determinou a remessa do feito à Corte Especial, para julgamento do presente Recurso Especial representativo da controvérsia, com sua redistribuição, por prevenção, ao Ministro HUMBERTO MARTINS. A Primeira Seção, na sessão de julgamento de 14/12/2016, procedeu à nova afetação do tema, nos termos do art. 1.036 do CPC, ""ratificando a decisão de afetação anteriormente proferida pelo Ministro LUIS FELIPE SALOMÃO, e da qual já resultou a suspensão de processos análogos, em todo o território nacional"" (acórdão publicado no DJe de 19/12/2016). Afetação originária: Segunda Seção. Decisão do Min. Luis Felipe Salomão publicada no DJe de 07/06/2016. teração de competência: Segunda Seção para Primeira Seção. Motivo da teração: redistribuição do REsp 1.525.174/RS ante a decisão proferida pela Corte Especial no CC 138.405/DF que reconheceu a competência da Primeira Seção para julgar a matéria objeto deste tema (acórdão publicado no DJe de 10/10/2016).",,Corte Especial,Sobrestado,DIREITO DO CONSUMIDOR,"Telefonia, Indenização por Dano Moral",TEODORO SILVA SANTOS,TJRS,,,,,5/12/2017,,Duplicado,201500847707,Não,,,,,,,,,,,,ASSUSETE MAGALHÃES,,,
955,08/08/2018,"I A concessão do benefício de previdência complementar tem como pressuposto a prévia formação de reserva matemática, de forma a evitar o desequilíbrio atuarial dos planos. Em tais condições, quando já concedido o benefício de complementação de aposentadoria por entidade fechada de previdência privada, é inviável a inclusão dos reflexos das verbas remuneratórias (horas extras) reconhecidas pela Justiça do Trabalho nos cálculos da renda mensal inicial dos benefícios de complementação de aposentadoria; II Os eventuais prejuízos causados ao participante ou ao assistido que não puderam contribuir ao fundo na época apropriada ante o ato ilícito do empregador poderão ser reparados por meio de ação judicial a ser proposta contra a empresa exempregadora na Justiça do Trabalho; III Modulação de efeitos (art. 927, §3º, do CPC/2015): para as demandas ajuizadas na Justiça Comum até a data do presente julgamento, e ainda sendo útil ao participante ou assistido, conforme as peculiaridades da causa, admitese a inclusão dos reflexos de verbas remuneratórias (horas extras), reconhecidas pela Justiça do Trabalho, nos cálculos da renda mensal inicial dos benefícios de complementação de aposentadoria, condicionada à previsão regulamentar (expressa ou implícita) e à recomposição prévia e integral das reservas matemáticas com o aporte de valor a ser apurado por estudo técnico atuarial em cada caso; IV Nas reclamações trabalhistas em que o exempregador tiver sido condenado a recompor a reserva matemática, e sendo inviável a revisão da renda mensal inicial da aposentadoria complementar, os valores correspondentes a tal recomposição devem ser entregues ao participante ou assistido a título de reparação, evitandose, igualmente, o enriquecimento sem causa do ente fechado de previdência complementar.",REsp 1312736/RS,"Inclusão, nos cálculos dos proventos de complementação de aposentadoria das horas extraordinárias habituais, incorporadas ao salário do participante de plano de previdência privada por decisão da justiça trabalhista.",Processos destacados de ofício pelo relator.,"Há determinação de suspensão nacional de todos os processos pendentes, individuais ou coletivos (Art. 1.037, II, CPC). (Decisão de afetação publicada no DJe de 15/06/2016).",,2ª Seção,Trânsito em Julgado,DIREITO CIVIL,"Previdência privada, Obrigações, DIREITO CIVIL, Espécies de Contratos",ANTONIO CARLOS FERREIRA,TJRS,,,,,,,Único,201200647966,Não,,,,,,,,,,,,ANTONIO CARLOS FERREIRA,,,
956,,,REsp 1575905/SC,Responsabilidade civil da instituição financeira por suposto defeito na prestação de serviços ao fornecer talonário de cheques a correntista que vem a emitir títulos sem provisão de fundos.,"Processos destacados de ofício pelo relator.
Determinou-se: ""comunique-se aos demais Ministros integrantes da Segunda Seção e oficie-se aos presidentes dos tribunais regionais federais e dos tribunais de justiça dos Estados para os fins do art. 1.037, II, do novo CPC"", que dispõe:
Art. 1.037. Selecionados os recursos, o relator, no tribunal superior, constatando a presença do pressuposto do caput do art. 1.036, proferirá decisão de afetação, na qual: (...) II. determinará a suspensão do processamento de todos os processos pendentes, individuais ou coletivos, que versem sobre a questão e tramitem no território nacional;
(Decisão de afetação publicada no DJe de 1/7/2016).","Há determinação de suspensão nacional de todos os processos pendentes, individuais ou coletivos (Art. 1.037, II, CPC). (Decisão de afetação publicada no DJe de 1/7/2016).",,2ª Seção,Cancelado,DIREITO DO CONSUMIDOR,"Cheque, Indenização por Dano Material",NANCY ANDRIGHI,TJSC,,,,,1/7/2016,,Único,201503223996,Não,,,,,,12/14/2016,,,,,,JOÃO OTÁVIO DE NORONHA,,,
956,,,REsp 1575996/SC,Responsabilidade civil da instituição financeira por suposto defeito na prestação de serviços ao fornecer talonário de cheques a correntista que vem a emitir títulos sem provisão de fundos.,"Processos destacados de ofício pelo relator.
Determinou-se: ""comunique-se aos demais Ministros integrantes da Segunda Seção e oficie-se aos presidentes dos tribunais regionais federais e dos tribunais de justiça dos Estados para os fins do art. 1.037, II, do novo CPC"", que dispõe:
Art. 1.037. Selecionados os recursos, o relator, no tribunal superior, constatando a presença do pressuposto do caput do art. 1.036, proferirá decisão de afetação, na qual: (...) II. determinará a suspensão do processamento de todos os processos pendentes, individuais ou coletivos, que versem sobre a questão e tramitem no território nacional;
(Decisão de afetação publicada no DJe de 1/7/2016).","Há determinação de suspensão nacional de todos os processos pendentes, individuais ou coletivos (Art. 1.037, II, CPC). (Decisão de afetação publicada no DJe de 1/7/2016).",,2ª Seção,Cancelado,DIREITO DO CONSUMIDOR,"Cheque, Indenização por Dano Material",NANCY ANDRIGHI,TJSC,,,,,,,Duplicado,201503235875,Não,,,,,,12/14/2016,,,,,,JOÃO OTÁVIO DE NORONHA,,,
957,,"As empresas adquirentes da carga transportada pelo navio Vicuña no momento de sua explosão, no Porto de Paranaguá/PR, em 15/11/2004, não respondem pela reparação dos danos egadamente suportados por pescadores da região atingida, haja vista a ausência de nexo causal a ligar tais prejuízos (decorrentes da proibição temporária da pesca) à conduta por elas perpetrada (mera aquisição pretérita do metanol transportado).",REsp 1602106/PR,Responsabilidade das empresas adquirentes da carga do Navio Vicuña pelo dano ambiental decorrente da explosão na baía de Paranaguá.,"RRC de Origem (art. 543-C, §1º, do CPC/73).","Determinouse que ""seja suspensa a tramitação dos processos, individuais ou coletivos, que versem a mesma matéria"", tendo em conta a ""afetação do presente feito a julgamento perante a Segunda Seção pela sistemática dos recursos repetitivos (arts. 1.036 e 1.037 do Código de Processo Civil de 2005 CPC/2005)"" (decisão de afetação publicada no DJe de 1º/8/2016).",,2ª Seção,Trânsito em Julgado,DIREITO CIVIL,"Responsabilidade Civil, Dano Ambiental, DIREITO CIVIL",RICARDO VILLAS BÔAS CUEVA,TJPR,,,,,1/8/2016,,Único,201601376794,Sim,,,,,,,,,,,,RICARDO VILLAS BÔAS CUEVA,,RE 1195841 - Baixado,8/8/2016
957,,"As empresas adquirentes da carga transportada pelo navio Vicuña no momento de sua explosão, no Porto de Paranaguá/PR, em 15/11/2004, não respondem pela reparação dos danos egadamente suportados por pescadores da região atingida, haja vista a ausência de nexo causal a ligar tais prejuízos (decorrentes da proibição temporária da pesca) à conduta por elas perpetrada (mera aquisição pretérita do metanol transportado).",REsp 1596081/PR,Responsabilidade das empresas adquirentes da carga do Navio Vicuña pelo dano ambiental decorrente da explosão na baía de Paranaguá.,"RRC de Origem (art. 543-C, §1º, do CPC/73).","Determinouse que ""seja suspensa a tramitação dos processos, individuais ou coletivos, que versem a mesma matéria"", tendo em conta a ""afetação do presente feito a julgamento perante a Segunda Seção pela sistemática dos recursos repetitivos (arts. 1.036 e 1.037 do Código de Processo Civil de 2005 CPC/2005)"" (decisão de afetação publicada no DJe de 1º/8/2016).",,2ª Seção,Trânsito em Julgado,DIREITO CIVIL,"Responsabilidade Civil, Dano Ambiental, DIREITO CIVIL",RICARDO VILLAS BÔAS CUEVA,TJPR,,,,,1/8/2016,,Duplicado,201601088221,Sim,,,,,,,,,,,,RICARDO VILLAS BÔAS CUEVA,,RE 1195841 - Baixado,8/8/2016
958,,"2.1. Abusividade da cláusula que prevê a cobrança de ressarcimento de serviços prestados por terceiros, sem a especificação do serviço a ser efetivamente prestado;2.2. Abusividade da cláusula que prevê o ressarcimento pelo consumidor da comissão do correspondente bancário, em contratos celebrados a partir de 25/02/2011, data de entrada em vigor da Res. CMN 3.954/2011, sendo válida a cláusula no período anterior a essa resolução, ressalvado o controle da onerosidade excessiva;2.3. Validade da tarifa de avaliação do bem dado em garantia, bem como da cláusula que prevê o ressarcimento de despesa com o registro do contrato, ressalvadas a:2.3. 1. abusividade da cobrança por serviço não efetivamente prestado; e a2.3. 2. possibilidade de controle da onerosidade excessiva, em cada caso concreto.",REsp 1578553/SP,"Validade da cobrança, em contratos bancários, de despesas com serviços prestados por terceiros, registro do contrato e/ou avaliação do bem.","RRC de Origem (art. 543-C, §1º, do CPC/73). VIDE TEMAS 618-621/STJ.","Há determinação de suspensão nacional de todos os processos pendentes, individuais ou coletivos (Art. 1.037, II, CPC), ""ressalvadas as hipóteses de autocomposição, tutela provisória, resolução parcial do mérito e coisa julgada, de acordo com as circunstâncias de cada caso concreto, a critério do juízo"". (Decisão de afetação publicada no DJe de 2/9/2016).",,2ª Seção,Trânsito em Julgado,DIREITO CIVIL,"DIREITO CIVIL, Espécies de Contratos, Contratos Bancários",PAULO DE TARSO SANSEVERINO,TJSPCF,11/02/2019,,,,,,Único,201600112776,Sim,,,,,,,,,,,,PAULO DE TARSO SANSEVERINO,,,
958,,"2.1. Abusividade da cláusula que prevê a cobrança de ressarcimento de serviços prestados por terceiros, sem a especificação do serviço a ser efetivamente prestado;2.2. Abusividade da cláusula que prevê o ressarcimento pelo consumidor da comissão do correspondente bancário, em contratos celebrados a partir de 25/02/2011, data de entrada em vigor da Res. CMN 3.954/2011, sendo válida a cláusula no período anterior a essa resolução, ressalvado o controle da onerosidade excessiva;2.3. Validade da tarifa de avaliação do bem dado em garantia, bem como da cláusula que prevê o ressarcimento de despesa com o registro do contrato, ressalvadas a:2.3. 1. abusividade da cobrança por serviço não efetivamente prestado; e a2.3. 2. possibilidade de controle da onerosidade excessiva, em cada caso concreto.",REsp 1578526/SP,"Validade da cobrança, em contratos bancários, de despesas com serviços prestados por terceiros, registro do contrato e/ou avaliação do bem.","RRC de Origem (art. 543-C, §1º, do CPC/73). VIDE TEMAS 618-621/STJ.","Há determinação de suspensão nacional de todos os processos pendentes, individuais ou coletivos (Art. 1.037, II, CPC), ""ressalvadas as hipóteses de autocomposição, tutela provisória, resolução parcial do mérito e coisa julgada, de acordo com as circunstâncias de cada caso concreto, a critério do juízo"". (Decisão de afetação publicada no DJe de 2/9/2016).",,2ª Seção,Trânsito em Julgado,DIREITO CIVIL,"DIREITO CIVIL, Espécies de Contratos, Contratos Bancários",PAULO DE TARSO SANSEVERINO,TJSPCF,,,,,2/9/2016,,Duplicado,201600112877,Sim,,,,,,2/14/2019,,,,,,PAULO DE TARSO SANSEVERINO,,,12/9/2016
958,,"2.1. Abusividade da cláusula que prevê a cobrança de ressarcimento de serviços prestados por terceiros, sem a especificação do serviço a ser efetivamente prestado;2.2. Abusividade da cláusula que prevê o ressarcimento pelo consumidor da comissão do correspondente bancário, em contratos celebrados a partir de 25/02/2011, data de entrada em vigor da Res. CMN 3.954/2011, sendo válida a cláusula no período anterior a essa resolução, ressalvado o controle da onerosidade excessiva;2.3. Validade da tarifa de avaliação do bem dado em garantia, bem como da cláusula que prevê o ressarcimento de despesa com o registro do contrato, ressalvadas a:2.3. 1. abusividade da cobrança por serviço não efetivamente prestado; e a2.3. 2. possibilidade de controle da onerosidade excessiva, em cada caso concreto.",REsp 1578490/SP,"Validade da cobrança, em contratos bancários, de despesas com serviços prestados por terceiros, registro do contrato e/ou avaliação do bem.","RRC de Origem (art. 543-C, §1º, do CPC/73). VIDE TEMAS 618-621/STJ.","Há determinação de suspensão nacional de todos os processos pendentes, individuais ou coletivos (Art. 1.037, II, CPC), ""ressalvadas as hipóteses de autocomposição, tutela provisória, resolução parcial do mérito e coisa julgada, de acordo com as circunstâncias de cada caso concreto, a critério do juízo"". (Decisão de afetação publicada no DJe de 2/9/2016).",,2ª Seção,Trânsito em Julgado,DIREITO CIVIL,"DIREITO CIVIL, Espécies de Contratos, Contratos Bancários",PAULO DE TARSO SANSEVERINO,TJSPCF,,,,,,,Duplicado,201600112740,Não,,,,,,2/8/2019,,,,,,PAULO DE TARSO SANSEVERINO,,,
