questao_TEC,tribunal,banca,ano,questao,gabarito,ramo,subramo
#2694998,TJGO,FGV,2023,"Determinada Lei do Estado Beta prevê a adoção do maior tempo de serviço público como critério de desempate para a promoção na carreira da magistratura
estadual.
Diante do exposto e da jurisprudência do Supremo Tribunal Federal, é correto afirmar que a referida norma é:
a)  inconstitucional, pois compete à União, mediante lei complementar de iniciativa reservada ao presidente da República, legislar sobre a organização da
magistratura nacional;
b)  constitucional, pois compete ao Estado, mediante lei complementar de iniciativa reservada ao presidente do Tribunal de Justiça local, legislar sobre a organização
da magistratura estadual;
c)  inconstitucional, pois compete à União, mediante lei complementar de iniciativa reservada ao Supremo Tribunal Federal, legislar sobre a organização da
magistratura nacional;
d)  constitucional, pois enquanto a lei nacional não é editada, permanece sob a competência do Estado legislar sobre matéria que disciplina o regime jurídico da
magistratura estadual;
e)  constitucional, pois repete as disposições e regras previstas na Lei Orgânica da Magistratura, as quais devem ser seguidas por todos os legisladores estaduais e
do Distrito Federal.",C,direito constitucional,Jurisprudência dos Tribunais Superiores sobre Disposições Gerais do Poder Judiciário
#2412559,TJMS,FGV,2023,"O incidente de deslocamento de competência foi instituído pela Emenda Constitucional nº 45/2004, que inseriu o §5º no Art. 109 da Constituição da República de
1988.
Sobre o instituto, é correto afirmar que:
a)  a constatação de grave violação efetiva e real de direitos humanos e a possibilidade de responsabilização internacional, decorrente do descumprimento de
obrigações assumidas em tratados internacionais, são pressupostos suficientes para o acolhimento do incidente de deslocamento de competência;
b)  possuem legitimidade para suscitar o incidente de deslocamento de competência, perante o Superior Tribunal de Justiça, o procurador geral da República, o
defensor público da União e o advogado geral da União, não o podendo fazer a vítima ou o grupo vitimado;
c)  a existência de condenação do Estado brasileiro pela Corte Interamericana de Direitos Humanos, como no caso da Favela Nova Brasília/RJ, é fundamento
suficiente para o deslocamento de competência para a Justiça Federal, ante o inegável interesse da União;
d)  de acordo com o entendimento do Superior Tribunal de Justiça, é sempre necessário, entre outros pressupostos, haver evidência de que os órgãos do sistema
estadual não mostram condições de seguir no desempenho da função de apuração, processamento e julgamento do caso com a devida isenção;
e)  embora largamente verificado na realidade judiciária, o incidente de deslocamento de competência impõe uma exceção à regra geral de competência relativa e
somente poderia ser efetuado em situações excepcionalíssimas.",D,direito constitucional,Jurisprudência dos Tribunais Superiores sobre Órgãos do Poder Judiciário
#2676627,TJPR,FGV,2023,"Determinada legislação do Estado Alfa, de iniciativa do governador, concedeu auxílio destinado ao aperfeiçoamento profissional de membros da procuradoria
estadual, durante o prazo em que subsistirem as condições que deram causa à sua instituição, devendo ser pago durante período determinado e estar vinculado
estritamente à participação do procurador em cursos que guardem nexo causal com as suas atividades institucionais.
Diante do exposto e da jurisprudência do Supremo Tribunal Federal, a referida legislação estadual é:
a)  inconstitucional, pois os membros da procuradoria estadual, remunerados sob a forma de subsídio, não podem receber verba extra destinada ao
aperfeiçoamento profissional;
b)  constitucional, pois os membros da procuradoria estadual não são remunerados sob a forma de subsídio e podem receber verba destinada ao aperfeiçoamento
profissional;
c)  inconstitucional, pois a iniciativa para projeto de lei que trate de remuneração dos procuradores do Estado deve ser realizada pelo procurador-geral do Estado,
uma vez que a Procuradoria do Estado é órgão independente e autônomo;
d)  constitucional, pois está caracterizada a natureza indenizatória da verba destinada ao aperfeiçoamento profissional de membros da procuradoria estadual,
remunerados sob a forma de subsídio;
e)  inconstitucional, pois a remuneração de todos os servidores do Estado deve seguir o regime jurídico único estadual e não é permitida a criação de benefícios
exclusivos a servidores específicos.",D,direito constitucional,Jurisprudência dos Tribunais Superiores sobre Funções Essenciais à Justiça
#3485694,TJTO,FGV,2025,"O Estado Alfa, com base em uma análise econômica do direito, editou a Lei Estadual nº Z, dispondo que os débitos tributários inscritos em dívida ativa estadual ou
municipal, de valor inferior a X (valor correspondente a menos de 30% do salário mínimo nacional), não deveriam ser cobrados com o ajuizamento de execução fiscal,
mas, sim, por meios administrativos, incluindo o possível protesto. Em sede de embargos à execução, um devedor do imposto sobre a propriedade territorial e predial
urbana invocou o disposto na Lei Estadual nº Z, requerendo a extinção da execução fiscal ajuizada pelo Município Beta em razão da falta de interesse de agir. Já o
Município Beta sustentou que a Lei Estadual nº Z seria inconstitucional.
O magistrado competente, ao analisar a causa, observou corretamente que a Lei Estadual nº Z é:
a)  constitucional, caso a União, por meio de lei complementar, tenha autorizado a sua edição;
b)  constitucional, pois os estados possuem competência para legislar sobre procedimentos;
c)  inconstitucional, pois os estados não possuem competência para legislar sobre direito financeiro;
d)  inconstitucional, pois afronta a competência do Município Beta para instituir o tributo e eventuais desonerações;
e)  constitucional, pois os estados possuem competência para suplementar a legislação federal em matéria de direito financeiro.",D,direito constitucional,Jurisprudência dos Tribunais Superiores sobre Sistema Tributário Nacional
#2412566,TJMS,FGV,2023,"A sociedade empresária Alfa, em razão do seu planejamento, passaria a adquirir, mensalmente, bens para o uso e o consumo no próprio estabelecimento e
almejava que o crédito do imposto sobre a circulação de bens e serviços (ICMS), decorrente dessa aquisição, fosse compensado com os débitos de ICMS que possuía. Ao
consultar a legislação vigente, constatou que isto seria autorizado para os créditos decorrentes de mercadorias que entrassem no estabelecimento a partir do próximo
exercício financeiro. Dias antes do início do próximo exercício financeiro, foi editada a Lei Complementar nº X, postergando a possibilidade de compensação para o quinto
exercício financeiro seguinte.
Irresignada com a referida alteração, Alfa ingressou com ação judicial, almejando que fosse reconhecida a inconstitucionalidade incidental da Lei Complementar nº X e
assegurado o direito à compensação dos créditos do ICMS.
À luz dessa narrativa, o pedido de Alfa deve ser julgado:
a)  procedente, considerando a inconstitucionalidade da Lei Complementar nº X, pois a matéria deveria ser objeto de deliberação em convênio do Conselho Nacional
de Política Fazendária (Confaz);
b)  procedente, considerando a inconstitucionalidade da Lei Complementar nº X, por ter afrontado o princípio da não cumulatividade do ICMS;
c)  procedente, considerando a inconstitucionalidade da Lei Complementar nº X, por ter afrontado o princípio da anterioridade nonagesimal;
d)  improcedente, considerando que a sistemática de compensação dos créditos do ICMS é matéria afeta às finanças públicas, estando sujeita aos princípios
próprios do direito financeiro, não àqueles do direito tributário;
e)  improcedente, considerando que a postergação da compensação do crédito do ICMS, promovida pela Lei Complementar nº X, não afronta o princípio da não
cumulatividade e não se sujeita à anterioridade nonagesimal.",E,direito constitucional,Jurisprudência dos Tribunais Superiores sobre Sistema Tributário Nacional
#3518842,TJCE,FGV,2025,"Em investigação de grande repercussão, o Ministério Público Federal (MPF) celebrou acordo de colaboração premiada com diversos investigados, resultando na
devolução voluntária de bens, valores e ativos obtidos ilicitamente. O MPF propôs, no próprio termo de colaboração, a destinação dos valores restituídos a um fundo
regional de educação e à estrutura de combate à corrupção da própria instituição. O Juízo homologou o acordo nos termos propostos.
Destaca-se que inexiste expressa e específica previsão legal quanto à destinação das receitas aqui citadas.
Sobre a hipótese narrada, com base no entendimento do Supremo Tribunal Federal, assinale a afirmativa correta.
a)  A destinação dos valores a projetos públicos definidos no acordo é válida por analogia à regra do Código Penal, que autoriza a restituição do produto do crime ao
ofendido.
b)  A aplicação imediata dos valores devolvidos diretamente a projetos do MPF é compatível com sua autonomia financeira, desde que haja previsão orçamentária
em rubrica interna própria e homologação judicial.
c)  A participação do MPF no processo orçamentário constitucional inclui iniciativas orçamentárias irrestritas, materializada pela autonomia administrativa e financeira
a ele conferida pela Constituição Federal.
d)  A destinação direta de receitas públicas recuperadas por meio de colaboração premiada viola o princípio da universalidade orçamentária, pois retira tais ingressos
da apreciação legislativa e da consolidação das receitas e despesas na Lei Orçamentária Anual.
e)  A destinação de valores oriundos de acordos de colaboração premiada é matéria afeta exclusivamente ao Poder Judiciário e ao MPF, em razão da natureza
extrapatrimonial e excepcional desses recursos, o que dispensa o processo legislativo orçamentário.",D,direito constitucional,Jurisprudência dos Tribunais Superiores sobre Finanças Públicas
#2412568,TJMS,FGV,2023,"O relator-geral do orçamento, com a finalidade de criar novas despesas ou de ampliar as programações previstas no projeto de lei orçamentária anual da União,
emendou o referido projeto com a inclusão, na peça orçamentária, de recursos avulsos indicados, por bancadas ou parlamentares individualizados, a beneficiários e
prioridades de despesas operacionalizadas.
Diante do exposto e de acordo com a jurisprudência predominante do Supremo Tribunal Federal, é correto afirmar que a referida emenda ao projeto, caso a lei
orçamentaria seja aprovada:
a)  não é autorizada pela CRFB/1988, porque não observa os critérios objetivos orientados pelos princípios da legalidade, impessoalidade, moralidade, publicidade e
eficiência;
b)  é autorizada pela CRFB/1988, em razão da compatibilidade com a ordem democrática e republicana, garantindo a responsabilidade fiscal;
c)  é autorizada pela CRFB/1988, em razão da necessidade de adesão de parlamentares aos interesses do governo, em observância ao princípio da separação dos
Poderes;
d)  é autorizada pela CRFB/1988, porque observa o princípio federativo e garante a autonomia dos demais entes federativos;
e)  não é autorizada pela CRFB/1988, porque não observa o princípio federativo e viola a autonomia dos demais entes federativos.",A,direito constitucional,Jurisprudência dos Tribunais Superiores sobre Finanças Públicas
#1865648,TJAP,FGV,2022,"Joana e sua família contrataram com a companhia aérea ZZ o serviço de transporte aéreo internacional do Brasil para a Espanha, com passagens de ida e volta. Ao
desembarcarem no destino, juntamente com os demais passageiros, constataram que sua bagagem tinha se extraviado.
Assim que retornaram ao Brasil, Joana e sua família ajuizaram ação de reparação de danos em face da companhia aérea ZZ, com base no Código de Defesa do
Consumidor (CDC). Em sua defesa, a companhia argumentou com a existência de convenção internacional (CI), devidamente ratificada pelo Estado brasileiro antes da
promulgação da Constituição da República de 1988, cuja aplicação resultaria na fixação de indenização em patamares sensivelmente inferiores. Acresça-se que a sede da
multinacional está situada em país que igualmente ratificou a convenção.
À luz da sistemática constitucional, o juiz de direito, ao julgar a causa, deve aplicar, nas circunstâncias indicadas:
a)  o CDC, que somente não prevaleceria sobre a CI caso fosse mais favorável ao consumidor, o que não é o caso;
b)  a Cl, que, por expressa previsão constitucional, sempre prevalece sobre as normas infraconstitucionais afetas à temática;
c)  o CDC, que tem a natureza de lei ordinária e foi editado em momento posterior à Cl, afastando a sua eficácia no território brasileiro;
d)  o CDC, pois a proteção do consumidor consubstancia direito fundamental, insuscetível de ser restringido por CI;
e)  a CI, desde que a sua recepção pela Constituição da República de 1988 tenha sido reconhecida em cada Casa do Congresso Nacional, em dois turnos, pelo voto
de três quintos dos seus membros.",B,direito constitucional,Jurisprudência dos Tribunais Superiores sobre Princípios Gerais da Atividade Econômica
#261315,TJMS,FGV,2008,"Assinale a afirmativa incorreta.
a) Ofende o princípio da livre concorrência lei municipal que impede a instalação de estabelecimentos comerciais do mesmo ramo em determinada área.
b) Segundo jurisprudência dos Tribunais Superiores, as concessionárias de serviço de telefonia não possuem exclusividade para editar listas ou catálogos telefônicos,
pois se o tivessem haveria violação ao princípio da livre concorrência.
c) A fixação de horário de funcionamento para o comércio dentro da área municipal pode ser feita por lei local, visando ao interesse do consumidor e evitando a
dominação do mercado por oligopólio.
d) Entre os princípios gerais da atividade econômica está o da defesa do meio ambiente, lato sensu, ou seja, abrangendo a noção de meio ambiente natural,
cultural, artificial e laboral.
e) Segundo Jurisprudência dos Tribunais Superiores, é inconstitucional lei que assegura gratuidade dos transportes públicos urbanos aos que têm mais de 65 anos,
por ferir os princípios constitucionais da livre iniciativa e livre concorrência, princípios gerais da atividade econômica.",E,direito constitucional,Jurisprudência dos Tribunais Superiores sobre Princípios Gerais da Atividade Econômica
#3419781,TRF5,FGV,2025,"Direito Constitucional - Jurisprudência dos Tribunais Superiores sobre Políticas Urbana, Agrária e Fundiária
A Lei Federal nº X, ao dispor sobre as características da propriedade produtiva, o que obstaria a sua desapropriação para fins de reforma agrária, exigiu que tal
propriedade fosse explorada de maneira eficiente, conforme índices fixados pelo órgão federal competente. Além disso, essa exploração ""deve ser realizada,
simultaneamente, de maneira racional, de modo a caracterizar o cumprimento de sua função social"". Esta última expressão veio a ser impugnada, em sede de controle
difuso de constitucionalidade, o que frustraria a desapropriação para fins de reforma agrária, promovida pela União no caso concreto.
À luz da sistemática constitucional, é correto afirmar que a Lei Federal nº X é:
a)  Inconstitucional, por adotar um conceito jurídico indeterminado em detrimento do direito fundamental à propriedade.
b)  Constitucional, pois a vedação ao uso de conceitos jurídicos indeterminados somente seria operativa em se tratando de desapropriação-sanção, o que não é o
caso.
c)  Constitucional, pois a cláusula de imunidade à desapropriação pode ser integrada por conceitos que conjuguem funcionalização social e propriedade produtiva.
d)  Inconstitucional, pois a função social da propriedade é cumprida pelo seu caráter produtivo, não por uma racionalidade idealizada pelas maiorias ocasionais.
e)  Inconstitucional, pois o conceito de propriedade produtiva possui estatura constitucional, não estando condicionado a novos requisitos estruturados no plano
infraconstitucional.",C,,
#2518795,TRF1,FGV,2023,"Ana foi acometida por patologia que aceleraria a degeneração de determinados órgãos do seu corpo sempre que tivesse contato com certas substâncias muito
comuns na generalidade dos alimentos. Após procurar diversos especialistas, recebeu a informação de que esse processo degenerativo poderia ser afastado com a
utilização do medicamento XX. Esse medicamento era largamente utilizado na quase totalidade dos países europeus, contando com o devido registro em agências de
regulação de indiscutível projeção e credibilidade no cenário internacional. Para surpresa de Ana, o medicamento ainda não tinha sido registrado perante a Agência
Nacional de Vigilância Sanitária (Anvisa), embora o respectivo requerimento já tivesse sido formulado há muito tempo, havendo mora irrazoável na sua apreciação,
considerando a legislação de regência. Por tal razão, não era oferecido no âmbito do Sistema Único de Saúde (SUS).
À luz dessa narrativa, é correto afirmar que Ana:
a)  poderá obter o medicamento XX, caso ingresse com ação em face de qualquer ente federativo que integre o SUS, devendo demonstrar que centros de pesquisa
sediados no Brasil chancelaram a sua eficácia;
b)  poderá obter o medicamento XX, caso ingresse com ação judicial em face da União, único ente legitimado a figurar no polo passivo da demanda, devendo ser
demonstrado apenas que o medicamento XX é imprescindível à preservação de sua vida;
c)  poderá obter o medicamento XX, caso ingresse com ação em face de qualquer ente que integre o SUS, devendo demonstrar que o medicamento XX integra
protocolos de intervenção terapêutica aprovados pela Agência Nacional de Saúde;
d)  poderá obter o medicamento XX, caso ingresse com ação judicial em face da União, único ente legitimado a figurar no polo passivo da demanda, devendo ser
demonstrada a inexistência de substituto terapêutico com registro no Brasil;
e)  não poderá compelir qualquer estrutura estatal de poder a lhe fornecer o medicamento XX, salvo se demonstrar a sua hipossuficiência econômica e que o
registro do medicamento já recebeu parecer favorável dos órgãos internos da Anvisa.",D,direito constitucional,Jurisprudência dos Tribunais Superiores sobre Ordem Social
#2518887,TRF1,FGV,2023,"Sentença proferida pela Vara Federal condenou a União e o Estado de Goiás ao fornecimento de medicamento oncológico de alto custo. Foi apresentado laudo
fundamentado elaborado pelo médico do paciente, justificando a imprescindibilidade e a necessidade do medicamento, bem como a inexistência de outro, com eficácia,
fornecido pelo SUS. Foi comprovada a impossibilidade de o autor arcar com o custo do medicamento, que está registrado na Anvisa. O Estado de Goiás apela, alegando
sua ilegitimidade passiva, por se tratar de medicamento de alto custo a ser fornecido pela União apenas. A União apela sob o fundamento de que o medicamento não
consta da lista do SUS.
Considerando o caso hipotético, é correto afirmar que:
a)  deve ser provido o recurso do Estado de Goiás, conforme entendimento fixado no Tema 793, pelo STF, e negado provimento ao recurso da União, em
conformidade com o STJ, que em sede de repetitivo fixou os parâmetros para o fornecimento de medicamentos pelo Estado e não há necessidade de que ele conste
da lista do SUS;
b)  devem ser providos ambos os recursos conforme teses fixadas pelo STF sobre a solidariedade entre os entes da federação e ainda os parâmetros para o
fornecimento de medicamentos conforme repetitivo julgado pelo STJ;
c)  deve ser negado provimento a ambos os recursos, considerando que a sentença está de acordo com o entendimento do STF sobre a solidariedade entre os entes
federativos e, conforme repetitivo do STJ, todos os parâmetros para que haja o dever do Estado de fornecer medicamentos estão presentes;
d)  deve ser negado provimento ao recurso do Estado de Goiás, conforme entendimento fixado no Tema 793, pelo STF, e deve ser provido o recurso da União, já
que a sentença não observou os requisitos necessários ao dever de fornecer medicamentos pelo Estado, dentre eles a inclusão do medicamento em lista do SUS;
e)  os recursos não devem ser conhecidos por violarem tese de repercussão geral fixada pelo STF.",C,direito constitucional,Jurisprudência dos Tribunais Superiores sobre Ordem Social
#2676048,TJPR,FGV,2023,"João foi acometido de grave patologia, que exigia internação imediata e submissão a tratamento especializado, com o uso de aparelhagem própria. Após percorrer
inúmeras unidades do Sistema Único de Saúde (SUS) situadas no território do Estado Alfa, João não logrou êxito em obter a internação e o tratamento de que tanto
necessitava, pois as unidades que atendiam aos seus objetivos estavam com a sua lotação esgotada. Por tal razão, ingressou com ação em face do Estado Alfa,
requerendo que, caso não fosse imediatamente disponibilizada a vaga de que necessitava, o juízo determinasse a sua internação em hospital privado.
Considerando a sistemática constitucional, é correto afirmar, em relação à ação ajuizada por João, que:
a)  a internação em unidade hospitalar privada, fora do SUS, acarretará o dever de indenizar, a posteriori, as despesas realizadas, observados os valores praticados
pela referida unidade;
b)  a ação não deve ser conhecida, pois o SUS é um sistema articulado entre todos os entes federativos, o que atrai a presença de um litisconsórcio passivo
necessário em ações como a de João;
c)  a essencialidade do direito à saúde permite o deferimento do pedido, sendo que o valor de ressarcimento dos serviços prestados, na perspectiva da saúde
suplementar, deve ser o mesmo utilizado para o ressarcimento, ao SUS, por serviços prestados a beneficiários de plano de saúde;
com adstrição aos requisitos exigidos, devendo o juízo permanecer adstrito a esse balizamento ao analisar o pedido de internação;
e)  em razão do princípio da solidariedade e do fato de a atividade privada de saúde constituir serviço de relevância social, pode ser acolhido o pedido, o que atrai,
para os entes federativos que formam o SUS, o dever de ressarcimento, observados os valores praticados pela tabela desse sistema.",C,direito constitucional,Jurisprudência dos Tribunais Superiores sobre Ordem Social
#2676048,TJPR,FGV,2023,"João foi acometido de grave patologia, que exigia internação imediata e submissão a tratamento especializado, com o uso de aparelhagem própria. Após percorrer
inúmeras unidades do Sistema Único de Saúde (SUS) situadas no território do Estado Alfa, João não logrou êxito em obter a internação e o tratamento de que tanto
necessitava, pois as unidades que atendiam aos seus objetivos estavam com a sua lotação esgotada. Por tal razão, ingressou com ação em face do Estado Alfa,
requerendo que, caso não fosse imediatamente disponibilizada a vaga de que necessitava, o juízo determinasse a sua internação em hospital privado.
Considerando a sistemática constitucional, é correto afirmar, em relação à ação ajuizada por João, que:
a)  a internação em unidade hospitalar privada, fora do SUS, acarretará o dever de indenizar, a posteriori, as despesas realizadas, observados os valores praticados
pela referida unidade;
b)  a ação não deve ser conhecida, pois o SUS é um sistema articulado entre todos os entes federativos, o que atrai a presença de um litisconsórcio passivo
necessário em ações como a de João;
c)  a essencialidade do direito à saúde permite o deferimento do pedido, sendo que o valor de ressarcimento dos serviços prestados, na perspectiva da saúde
suplementar, deve ser o mesmo utilizado para o ressarcimento, ao SUS, por serviços prestados a beneficiários de plano de saúde;
d)  o SUS pode contar com a atuação de unidades hospitalares privadas, mas apenas se estiverem integradas ao sistema, na perspectiva da saúde complementar,
com adstrição aos requisitos exigidos, devendo o juízo permanecer adstrito a esse balizamento ao analisar o pedido de internação;
e)  em razão do princípio da solidariedade e do fato de a atividade privada de saúde constituir serviço de relevância social, pode ser acolhido o pedido, o que atrai,
para os entes federativos que formam o SUS, o dever de ressarcimento, observados os valores praticados pela tabela desse sistema.",C,direito constitucional,Jurisprudência dos Tribunais Superiores sobre Ordem Social
#3248460,TRF3,FGV,2025,"Assinale a alternativa correta:
a)  As modalidades de pagamento por serviços ambientais poderão ser previamente pactuadas entre pagadores e provedores, mas o órgão gestor da PNPSA deverá
estabelecer outras modalidades por atos normativos.
b)  No contexto dos direitos territoriais, os povos e comunidades tradicionais poderão ter o direito de voltar a suas terras tradicionais, ainda que persistam as causas
que motivaram seus translados com reassentamento, conforme a Convenção OIT 169.
c)  Ao aplicar as disposições da Convenção OIT 169, os governos poderão consultar os povos interessados, mediante procedimentos apropriados, cada vez que
sejam previstas medidas legislativas ou administrativas suscetíveis de afetá-los diretamente, de forma livre, prévia, informada e de boa fé.
d)  Nos casos de isenção da obrigação de repartição de benefícios pelas microempresas, empresas de pequeno porte, microempreendedores individuais, agricultores
tradicionais e suas cooperativas, nos termos dos dispositivos da Lei nº 13.123/2015, os detentores do conhecimento tradicional associado à biodiversidade ficam
excluídos de programas de repartição de benefícios para manutenção dos sistemas de cultivo.
e)  Segundo o STF, é constitucionalmente legítima a indissociabilidade dos direitos territoriais e do direito de existir como comunidade tradicional. Dada a íntima
relação entre a posse das terras coletivas e a reprodução física e cultural das comunidades tradicionais, os direitos territoriais resultam abrangidos pelo direito
fundamental à cultura (art. 215 da Constituição da República).",E,direito constitucional,"Jurisprudência dos Tribunais Superiores sobre Educação, Cultura e Desporto"
#3419773,TRF5,FGV,2025,"Ato infralegal editado pelo chefe do Poder Executivo federal dispôs sobre certos requisitos a serem inseridos nos editais de licitação para a outorga de permissão
para a exploração do serviço de radiodifusão sonora de caráter comercial. Entre os requisitos exigidos, está a determinação de que deve ser inserida cláusula editalícia
prevendo a reserva de percentual do tempo de transmissão para a veiculação de conteúdo local e regional. Após a frustração das medidas administrativas voltadas à
impugnação de edital que fora elaborado com base no referido ato normativo, a sociedade empresária interessada impetrou mandado de segurança, argumentando com
a desconformidade constitucional do edital.
O órgão jurisdicional competente observou corretamente que a medida:
a)  é incompatível com o caráter nacional do poder concedente;
b)  está em harmonia com os direitos de acesso à comunicação e à cultura;
c)  precisa estar amparada na lei, não podendo ser exigida apenas em ato administrativo;
d)  se ajusta à plena liberdade valorativa do poder concedente em relação ao conteúdo da programação;
e)  afronta o princípio da neutralidade conteudística do poder concedente em relação à programação das emissoras de radiodifusão.",B,direito constitucional,"Jurisprudência dos Tribunais Superiores sobre Educação, Cultura e Desporto"
#2694997,TJGO,FGV,2023,"Maria, moradora do Município Alfa, não conseguiu efetuar a matrícula do filho de 2 anos em estabelecimento de educação infantil municipal próximo de sua
residência. Ao questionar o motivo da impossibilidade, o Município alegou que a rede municipal não tinha vaga para crianças da idade de seu filho, já que não havia
legislação municipal que fornecesse tal garantia. Diante do exposto e da jurisprudência do Supremo Tribunal Federal, é correto afirmar que:
a)  a municipalidade não tem o dever de efetuar a matrícula do filho de Maria, pois às crianças entre 0 e 5 anos de idade o atendimento em creche e pré-escola não
é obrigatório e necessita de regulamentação pelo Poder Legislativo;
b)  Maria não poderá exigir judicialmente do Município a matrícula de seu filho na escola municipal, pois a norma que garante a concretização desse direito
fundamental é de eficácia contida sem aplicabilidade imediata;
c)  o Município Alfa tem o dever constitucional de assegurar ao filho de Maria o atendimento em creche e pré-escola. A educação infantil é direito subjetivo
assegurado no próprio texto constitucional, mediante norma de aplicabilidade direta e eficácia plena;
d)  o Município Alfa não tem o dever constitucional de assegurar ao filho de Maria o atendimento em creche e pré-escola. A educação infantil não é direito subjetivo,
pois é norma programática e depende de implementação pelo poder público;
e)  o Município Alfa tem o dever de assegurar ao filho de Maria o atendimento em pré-escola (4 a 5 anos), mas não em creche (0 a 3 anos), pois apenas a educação
básica é direito subjetivo previsto na Constituição.",C,direito constitucional,"Jurisprudência dos Tribunais Superiores sobre Educação, Cultura e Desporto"
#3358383,TJSE,FGV,2025,"O Estado Alfa editou a Lei nº X, que elevou a entrância das comarcas Sigma, Beta e Gama, e dispôs que os atuais ocupantes de cargos de juiz de direito nas
referidas comarcas pudessem requerer, no prazo de cinco dias úteis, que, quando promovidos, a respectiva promoção seja efetivada na comarca em que se encontram. O
diretório nacional do partido político Alfa, por entender que a Lei nº X era incompatível com a Constituição da República, solicitou que sua assessoria analisasse a
possibilidade de ser deflagrado o controle abstrato de constitucionalidade perante o Supremo Tribunal Federal.
Foi corretamente esclarecido que:
a)  nenhum ato normativo de efeitos concretos pode ser objeto desse controle;
b)  por não ter natureza orçamentária e produzir efeitos concretos, a Lei nº X não pode ser objeto desse controle;
c)   como a Lei nº X aufere o seu fundamento de validade diretamente na ordem constitucional, ela pode ser objeto desse controle;
d)  enquanto não decorrido o prazo de anulação dos efeitos concretos produzidos pela Lei nº X, ela pode ser objeto desse controle;
e)  qualquer ato normativo estadual, quer produza efeitos concretos, quer seja dotado de generalidade e abstração, pode ser objeto desse controle.",B,direito constitucional,Jurisprudência dos Tribunais Superiores sobre Controle de Constitucionalidade
#3485711,TJTO,FGV,2025,"O Estado Alfa editou a Lei Estadual nº X, que veio a ser objeto de ação direta de inconstitucionalidade (ADI) perante o Supremo Tribunal Federal. Após o voto do
relator, que se inclinou pela declaração de inconstitucionalidade, foi requerida vista do processo objetivo. Antes que o processo fosse reinserido em pauta, foi editada a Lei
Estadual nº Y, que revogou a congênere nº X e passou a disciplinar a matéria.
À luz da sistemática vigente, é correto afirmar que a ADI, na situação indicada:
a)  pode vir a ser julgada no mérito;
b)  deve ser extinta sem apreciação do mérito, salvo se a petição inicial for aditada para incluir a Lei Estadual nº Y;
c)  não pode vir a ser julgada no mérito, salvo se tiver sido deferido provimento cautelar suspendendo a sua eficácia;
d)  deve ser extinta sem apreciação do mérito, não sendo admitido o aditamento da petição inicial para incluir a Lei Estadual nº Y;
e)  pode vir a ser julgada no mérito, desde que haja a manifestação favorável de dois terços dos membros do Tribunal em questão de ordem.",A,direito constitucional,Jurisprudência dos Tribunais Superiores sobre Controle de Constitucionalidade
#3128246,TJSC,FGV,2024,"A Lei Federal nº X, que veiculou o orçamento da União para o exercício financeiro W, disciplinou determinado programa de trabalho de maneira considerada
dissonante da Constituição da República, pelo partido político Alfa, que possui representação na Câmara dos Deputados. Logo após Alfa iniciar estudos para deflagrar o
controle concentrado de constitucionalidade perante o Supremo Tribunal Federal, foi editada a Lei Federal nº Y, que alterou o referido programa de trabalho e padecia dos
mesmos vícios.
À luz dessa narrativa, é correto afirmar que:
a)  pode ser ajuizada ação direta de inconstitucionalidade por Alfa, sendo necessário que tenha por objeto as Leis Federais nº X e Y;
b)  pode ser ajuizada arguição de descumprimento de preceito fundamental por Alfa, sendo necessário que tenha por objeto as Leis Federais nº X e Y;
c)  não é cabível a deflagração do controle concentrado de constitucionalidade das Leis Federais nº X e Y, por se tratar de normas de efeitos concretos;
d)  pode ser ajuizada ação direta de inconstitucionalidade, tendo por objeto apenas a Lei Federal nº Y, com pedido de extensão dos efeitos da decisão à Lei Federal
nº X;
e)  é cabível a deflagração do controle concentrado de constitucionalidade da Lei Federal nº Y, desde que a despesa pública, amparada pelo referido programa de
trabalho, ainda não tenha sido realizada.",A,direito constitucional,Jurisprudência dos Tribunais Superiores sobre Controle de Constitucionalidade
#2676622,TJPR,FGV,2023,"Em Ação Direta de Inconstitucionalidade (Representação de Inconstitucionalidade) movida pelo governador do Estado Alfa perante o Pleno do Tribunal de Justiça
local, impugnando a inconstitucionalidade de determinada lei estadual em face da Constituição do Estado Alfa, mais da metade dos membros do Tribunal de Justiça se
declararam impedidos de julgá-la.
Diante do exposto e da jurisprudência do Supremo Tribunal Federal, o órgão julgador competente para a apreciação da mencionada ação é o(a):
a)  Supremo Tribunal Federal;
b)  Presidência do Tribunal de Justiça do Estado Alfa;
c)  Tribunal Regional Federal da Região do Estado Alfa;
d)  Pleno do Tribunal de Justiça do Estado Alfa;
e)  Superior Tribunal de Justiça.",D,direito constitucional,Jurisprudência dos Tribunais Superiores sobre Controle de Constitucionalidade
